lpBound,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,usePreprocessing,vpcGenerator
7830.336037,10594.949365,10595.000000,23864.000000,23864.000000,5.133209,56.924040,543.356569,595.000000,597.000000,600.000000,1,PRLP
8613.954540,11658.784607,11658.784607,23148.000000,23148.000000,3.369164,11.230900,585.030410,595.000000,596.000000,600.000000,1,PRLP
7997.354881,10377.301905,10377.301905,18229.000000,18099.000000,6.372723,15.459778,578.041435,595.000000,596.000000,600.000000,1,PRLP
8247.942960,10654.001951,10654.001951,24711.000000,24711.000000,6.817521,26.324874,560.096522,595.000000,597.000000,600.000000,1,PRLP
8158.691420,11480.809758,11480.809758,22151.000000,22151.000000,4.503026,12.142122,567.056812,595.000000,596.000000,600.000000,1,PRLP
8743.310877,10712.874356,10712.874356,18072.000000,17044.000000,3.068112,9.015111,575.030260,595.000000,596.000000,600.000000,1,PRLP
7629.702060,10571.694249,10571.694249,20235.000000,16294.000000,4.516528,11.634467,583.121127,595.000000,595.000000,600.000000,1,PRLP
8191.992722,10278.458598,10278.458598,21124.000000,21124.000000,4.954860,24.497811,566.214191,595.000000,597.000000,600.000000,1,PRLP
8552.621598,10473.115817,10474.000000,20993.000000,20348.000000,3.572071,10.405119,580.121972,595.000000,596.000000,600.000000,1,PRLP
8413.016960,11652.893314,11652.893314,23520.000000,23520.000000,3.018316,25.857405,566.125579,595.000000,597.000000,600.000000,1,PRLP
9618.532827,12203.254954,12204.000000,19423.000000,19423.000000,10.217896,44.008089,568.031575,595.000000,607.000000,600.000000,1,Farkas
10227.619267,13345.086043,13346.000000,26827.000000,26827.000000,7.292292,54.316054,570.758457,595.000000,608.000000,600.000000,1,Farkas
11137.790488,14392.248617,14393.000000,29534.000000,29534.000000,9.937260,61.593984,570.134857,595.000000,608.000000,600.000000,1,Farkas
9274.443022,12073.072264,12074.000000,22141.000000,22141.000000,47.667729,93.704677,567.659167,595.000000,610.000000,600.000000,1,Farkas
12171.021836,14875.074082,14876.000000,25781.000000,25781.000000,9.381709,47.121408,569.484397,595.000000,600.000000,600.000000,1,Farkas
9324.630870,12046.964176,12047.000000,21470.000000,21470.000000,20.523628,64.628199,568.142356,595.000000,611.000000,600.000000,1,Farkas
9562.158482,12056.002321,12057.000000,24622.000000,24622.000000,15.636477,57.524325,570.649112,595.000000,607.000000,600.000000,1,Farkas
13229.832816,15942.056834,15943.000000,28537.000000,28537.000000,11.624265,42.294085,569.510576,595.000000,606.000000,600.000000,1,Farkas
9808.944873,12880.516008,12881.000000,25009.000000,25009.000000,42.048674,90.885211,569.798504,595.000000,610.000000,600.000000,1,Farkas
9836.377949,13271.144025,13272.000000,27301.000000,27301.000000,17.535234,58.859373,569.026690,595.000000,608.000000,600.000000,1,Farkas
11848.623777,15203.776042,15204.000000,27444.000000,27444.000000,8.174825,25.956807,567.174259,595.000000,602.000000,600.000000,1,Farkas
9670.186791,12205.471370,12206.000000,21512.000000,21512.000000,10.309923,34.636707,569.443724,595.000000,605.000000,600.000000,1,Farkas
9534.066562,12261.285677,12262.000000,22588.000000,22588.000000,10.748212,44.318101,569.131231,595.000000,608.000000,600.000000,1,Farkas
10937.654209,13238.980298,13239.000000,19620.000000,19620.000000,13.220457,22.710679,568.315465,595.000000,601.000000,600.000000,1,Farkas
