lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
33.845278,34.115833,33.845278,34.855441,35.692833,37.000000,37.000000,1.678225,2.106992,3.517471,2.106903,3.571502,303.173430,300.000000,New,4,156294,19934,5
33.845278,34.195227,33.845278,34.993396,36.019405,37.000000,37.000000,1.124470,1.571789,3.256925,1.571791,3.296769,301.288592,300.000000,New,4,177824,20217,5
33.845278,34.115833,33.845278,34.855441,35.693884,37.000000,37.000000,1.341925,1.770866,3.181428,1.770870,3.235268,301.022262,300.000000,New,4,157010,20008,5
33.860278,34.031667,33.993008,34.702961,35.782482,37.000000,37.000000,1.215713,2.028249,2.670682,2.028252,2.725068,300.686197,300.000000,New,4,155260,21456,4
33.845278,34.188333,33.855255,35.109776,35.829770,37.000000,37.000000,4.425718,5.731830,7.542172,5.731834,7.581882,301.468432,300.000000,New,4,136850,20155,5
33.845278,34.115833,33.845278,34.855441,35.693291,37.000000,37.000000,1.330505,1.758668,3.177467,1.758671,3.231532,300.718348,300.000000,New,4,156644,19975,5
33.845278,34.115833,33.845278,34.855441,35.693661,37.000000,37.000000,1.323925,1.752121,3.164372,1.752136,3.218402,301.276243,300.000000,New,4,156819,19991,5
33.680278,34.023333,33.950833,34.683262,35.540541,37.000000,37.000000,1.143381,1.475906,2.959736,1.475908,3.003916,301.741443,300.000000,New,4,149399,21865,5
33.845278,34.176250,34.115833,35.001340,35.808312,37.000000,37.000000,1.364502,1.771195,3.372417,1.771197,3.419479,301.963149,300.000000,New,4,162382,20351,5
33.845278,34.115833,33.845278,34.855441,35.694485,37.000000,37.000000,1.327816,1.754559,3.163732,1.754562,3.217657,300.787322,300.000000,New,4,156833,19994,5
33.845278,34.115833,33.845278,34.855441,35.693434,37.000000,37.000000,1.331371,1.759485,3.171637,1.759491,3.225677,301.125563,300.000000,New,4,156880,19997,5
