instanceIndex,primalBounds,dualBounds,times
0,115.000000,102.771469,40.519723
0,115.000000,102.771469,41.761819
0,111.000000,102.771469,42.197855
0,108.000000,102.771469,42.630287
0,108.000000,102.771469,42.959435
0,108.000000,102.771469,43.415221
0,108.000000,102.771469,43.942791
0,108.000000,102.771469,44.258690
0,108.000000,102.771469,44.690642
0,108.000000,102.771469,45.114114
0,108.000000,102.771469,45.404268
0,108.000000,102.771469,45.693717
0,108.000000,102.771469,46.040241
0,108.000000,102.771469,46.416713
0,108.000000,102.771469,46.819651
0,108.000000,102.771469,47.275997
0,108.000000,102.771469,47.765080
0,108.000000,102.771469,48.290247
0,108.000000,102.771469,48.577423
0,108.000000,102.771469,48.809043
0,108.000000,102.771469,49.054891
0,108.000000,102.771469,49.357114
0,108.000000,102.771469,49.802248
0,108.000000,102.771469,50.184385
0,108.000000,102.771469,50.565702
0,108.000000,102.771469,50.830803
0,108.000000,102.771469,51.112098
0,108.000000,102.771469,51.495371
0,108.000000,102.771469,51.865239
0,108.000000,102.771469,52.107063
0,108.000000,102.771469,52.440095
0,108.000000,102.771469,52.778625
0,108.000000,102.771469,53.125597
0,108.000000,102.771469,53.462603
0,108.000000,102.771469,53.833667
0,108.000000,102.771469,54.183157
0,108.000000,102.771469,54.447870
0,108.000000,102.771469,54.710623
0,108.000000,102.771469,55.011789
0,108.000000,102.771469,55.296787
0,108.000000,102.771469,55.537932
0,108.000000,102.771469,55.857203
0,108.000000,102.771469,56.269620
0,108.000000,102.771469,56.558046
0,108.000000,102.771469,56.847331
0,108.000000,102.771469,57.105444
0,108.000000,102.771469,57.355350
0,108.000000,102.771469,57.695982
0,108.000000,102.771469,58.054301
0,108.000000,102.771469,58.335699
0,108.000000,102.771469,58.639014
0,108.000000,102.771469,58.939074
0,108.000000,102.771469,59.288920
0,108.000000,102.771469,59.684743
0,108.000000,102.771469,60.082492
0,108.000000,102.771469,60.366286
0,108.000000,102.771469,60.736223
0,108.000000,102.771469,61.092663
0,108.000000,102.771469,61.340925
0,108.000000,102.771469,61.676691
0,108.000000,102.771469,61.994833
0,108.000000,102.771469,62.421021
0,108.000000,102.771469,62.784342
0,108.000000,102.771469,63.089321
0,108.000000,102.771469,63.370170
0,108.000000,102.771469,63.636455
0,108.000000,102.771469,63.945500
0,108.000000,102.771469,64.268499
0,108.000000,102.771469,64.571340
0,108.000000,102.771469,64.879208
0,108.000000,102.771469,65.198207
0,108.000000,102.771469,65.525881
0,108.000000,102.771469,65.843138
0,108.000000,102.771469,66.149698
0,108.000000,102.771469,66.453856
0,108.000000,102.771469,66.848211
0,108.000000,102.771469,67.169029
0,108.000000,102.771469,67.503346
0,108.000000,102.771469,67.854772
0,108.000000,102.771469,68.173971
0,108.000000,102.771469,68.500575
0,108.000000,102.771469,68.831381
0,108.000000,102.771469,69.210182
0,108.000000,102.771469,69.588561
0,108.000000,102.771469,69.991339
0,108.000000,102.771469,70.345348
0,108.000000,102.771469,70.622391
0,108.000000,102.771469,70.964638
0,108.000000,102.771469,71.334385
0,108.000000,102.771469,71.614290
0,108.000000,102.771469,71.882864
0,108.000000,102.771469,72.174006
0,108.000000,102.771469,72.524908
0,108.000000,102.771469,72.888759
0,108.000000,102.771469,73.261995
0,108.000000,102.771469,73.621441
0,108.000000,102.771469,73.961712
0,108.000000,102.771469,74.383580
0,108.000000,102.771469,74.810891
0,108.000000,102.771469,75.238725
0,108.000000,102.771469,75.614869
0,108.000000,102.771469,76.014108
0,108.000000,102.771469,76.364212
0,108.000000,102.771469,76.767027
0,108.000000,102.771469,77.164777
0,108.000000,102.771469,77.571669
0,108.000000,102.771469,77.947542
0,108.000000,102.771469,78.315959
0,108.000000,102.771469,78.725898
0,108.000000,102.771469,79.067759
0,108.000000,102.771469,79.388471
0,108.000000,102.771469,79.695542
0,108.000000,102.771469,80.027699
0,108.000000,102.771469,80.348924
0,108.000000,102.771469,80.686831
0,108.000000,102.771469,81.053358
0,108.000000,102.771469,81.287630
0,108.000000,102.771469,81.640678
0,108.000000,102.771469,81.991554
0,108.000000,102.771469,82.389726
0,108.000000,102.771469,82.790908
0,108.000000,102.771469,83.161083
0,108.000000,102.771469,83.475625
0,108.000000,102.771469,83.768401
0,108.000000,102.771469,84.172512
0,108.000000,102.771469,84.536452
0,108.000000,102.771469,84.763599
0,108.000000,102.771469,85.029250
0,108.000000,102.771469,85.467738
0,108.000000,102.771469,85.972028
0,108.000000,102.771469,86.449757
0,108.000000,102.771469,86.840520
0,108.000000,102.771469,87.303000
0,108.000000,102.771469,87.673728
0,108.000000,102.771469,88.052907
0,108.000000,102.771469,88.467094
0,108.000000,102.771469,88.838236
0,108.000000,102.771469,89.231479
0,108.000000,102.771469,89.558810
0,108.000000,102.771469,89.787766
0,108.000000,102.771469,90.108663
0,108.000000,102.771469,90.387589
0,108.000000,102.771469,90.696858
0,108.000000,102.771469,90.995889
0,108.000000,102.771469,91.338283
0,108.000000,102.771469,91.703799
0,108.000000,102.771469,92.026271
0,108.000000,102.771469,92.398427
0,108.000000,102.771469,92.783939
0,108.000000,102.771469,93.126113
0,108.000000,102.771469,93.567596
0,108.000000,102.771469,93.968246
0,108.000000,102.771469,94.468036
0,108.000000,102.771469,94.918463
0,108.000000,102.771469,95.318126
0,108.000000,102.771469,95.856099
0,108.000000,102.771469,96.371955
0,108.000000,102.771469,96.798463
0,108.000000,102.771469,97.212761
0,108.000000,102.771469,97.657740
0,108.000000,102.771469,98.094286
0,108.000000,102.771469,98.542670
