instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,38893.903641,39041.736508,39039.710779,39039.710779,39518.939365,40560.054142,40005.054142,33.935754,34.369904,34.411041,34.369759,390.682023,1202.182818,1200.000000,New,64,1210938,199464,65
1,38947.624335,39100.925481,39094.408558,39094.408558,39595.613182,41784.621111,40306.666820,36.308549,36.715331,36.753090,36.715344,515.702094,1202.589277,1200.000000,New,64,1139083,201590,65
2,39083.006612,39249.612970,39244.863896,39244.863896,39712.990311,41206.000149,40114.054142,37.549280,38.533071,38.567308,38.533081,207.962939,468.730114,1200.000000,New,64,463844,79034,65
3,6170.790227,6551.532613,6539.647223,6539.647223,7708.309383,8599.632368,7785.779807,33.349828,34.090678,34.128446,34.090687,163.472162,795.164747,1200.000000,New,64,820516,136470,65
5,6868.643675,7190.782402,7186.419142,7186.419142,7979.863358,8345.264210,8059.666880,32.873416,33.567196,33.599387,33.567210,193.019673,435.530036,1200.000000,New,64,438687,80695,65
6,26789.154424,27018.676683,27016.191540,27016.191540,27852.691793,28347.054162,28322.977950,31.803056,32.538152,32.571217,32.538163,32.578984,1202.037670,1200.000000,New,64,1233566,225219,65
7,39017.862481,39168.130488,39164.245767,39164.245767,39684.444641,40896.750580,40120.912263,35.205577,36.145980,36.181604,36.145989,36.566187,1202.143081,1200.000000,New,64,1365473,231269,65
8,31570.030942,31749.608904,31746.739464,31746.739464,32218.948912,33245.977930,32541.610480,33.741766,34.096399,34.125903,34.096408,247.927722,545.308196,1200.000000,New,64,561554,105522,65
