instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,94.216250,97.775000,94.644072,102.771469,105.931049,115.000000,107.000000,36.842134,37.337078,39.677432,37.337101,134.024936,623.004667,1200.000000,New,64,362395,30867,69
1,93.753750,97.401250,94.181572,101.201046,103.950313,114.000000,105.000000,1.493390,1.980462,3.881784,1.980465,118.151104,931.370907,1200.000000,Farkas,64,486796,51592,69
2,93.742500,97.195000,94.258988,102.816043,105.931985,111.000000,107.000000,1.518748,2.042384,4.188897,2.042400,19.238237,421.094824,1200.000000,Farkas,64,247861,24257,69
3,94.091250,97.613750,94.518412,102.933102,105.931992,111.000000,107.000000,1.503072,2.196118,3.645819,2.196133,177.463388,495.238090,1200.000000,Farkas,64,292131,31296,69
4,94.216250,97.775000,94.644073,103.121565,105.930543,114.000000,107.000000,1.503429,2.085362,3.180177,2.085377,38.021388,675.027998,1200.000000,Farkas,64,363956,36058,69
5,93.841250,97.525000,94.269823,102.527600,105.793038,115.000000,106.000000,1.506979,2.011489,3.532138,2.011503,14.894843,539.219412,1200.000000,Farkas,64,304980,33068,69
6,94.216250,97.780208,94.707163,102.030148,104.743736,110.000000,107.000000,1.507337,1.999024,3.799593,1.999027,3.854811,1201.071175,1200.000000,Farkas,64,672856,67617,69
7,93.128750,96.525000,93.555913,99.605748,103.547815,111.000000,104.000000,1.526716,2.037400,3.537242,2.037415,684.364721,684.445342,1200.000000,Farkas,64,401688,37041,69
8,93.937500,97.693333,94.381575,102.034891,105.267483,115.000000,106.000000,1.508289,1.944072,3.678998,1.944086,5.521053,447.195491,1200.000000,Farkas,64,280097,25003,69
9,93.897500,96.982500,94.395912,103.060045,106.215169,115.000000,107.000000,1.509314,2.099583,4.331021,2.099599,511.964327,826.998663,1200.000000,Farkas,64,428110,42313,69
