instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,20.570922,30.168224,29.976654,30.126382,34.000000,34.000000,34.000000,3.861996,4.195757,4.365646,4.195649,4.373229,5.296207,1200.000000,New,64,2307,206,69
1,20.221439,30.202532,29.814261,29.963577,34.000000,34.000000,34.000000,0.927929,1.150619,1.350307,1.150622,1.355900,2.221655,1200.000000,Old,64,2251,220,69
2,20.642129,29.860782,29.755808,29.867045,34.000000,34.000000,34.000000,1.128421,1.447787,1.642534,1.447790,1.648588,2.408356,1200.000000,Old,64,1906,196,69
3,20.284541,29.951220,29.662682,29.817825,34.000000,34.000000,34.000000,0.990641,1.200494,1.494806,1.200506,1.500647,2.553116,1200.000000,Old,64,2951,250,69
4,20.482799,29.783148,29.631682,29.774223,30.000000,30.000000,30.000000,0.831629,0.967597,0.979817,0.967608,0.967608,0.981086,1200.000000,Old,64,0,0,69
5,20.813863,30.168224,29.933481,30.132705,34.000000,34.000000,34.000000,0.901679,1.329774,1.585810,1.329791,1.595176,2.404261,1200.000000,Old,64,2250,238,69
6,21.254888,30.168224,29.939568,30.073278,34.000000,34.000000,34.000000,0.935646,1.164660,1.535228,1.164671,1.542792,2.265307,1200.000000,Old,64,2102,130,69
7,20.416838,29.338255,29.163390,29.359670,34.000000,34.000000,34.000000,0.951288,1.406748,1.737308,1.406761,1.744182,2.581367,1200.000000,Old,64,2461,220,69
8,20.393582,30.168224,29.927796,30.075299,34.000000,34.000000,34.000000,0.924006,1.080610,1.293170,1.080622,1.298677,2.171370,1200.000000,Old,64,2198,172,69
9,20.326263,28.920515,28.762419,29.051995,34.000000,34.000000,34.000000,1.071097,1.246455,1.572766,1.246469,1.579195,2.400865,1200.000000,Old,64,2396,194,69
10,20.938097,30.266447,28.941801,29.567419,31.000000,31.000000,31.000000,0.964471,1.049353,1.098335,1.049378,1.104031,1.148850,1200.000000,Old,64,192,8,69
