instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,10482.795280,10482.795280,10482.795280,10482.795280,11075.587662,12912.475382,11801.185729,0.012620,1.055579,1.073009,1.055593,783.847398,1218.553149,1200.000000,None,16,1473612,230209,0
1,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.000240,0.009437,0.119090,0.120988,0.119110,0.119108,0.120979,1200.000000,None,16,0,0,0
2,0.000221,0.000221,0.000221,0.000221,0.000230,0.000230,0.000230,0.007782,0.033832,0.037279,0.033845,0.033845,0.037273,1200.000000,None,16,0,0,0
3,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.000240,0.015449,0.137922,0.139825,0.137933,0.137933,0.139820,1200.000000,None,16,0,0,0
4,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.000240,0.015429,0.184635,0.186572,0.184638,0.184633,0.186552,1200.000000,None,16,0,0,0
5,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.000240,0.016032,0.134532,0.136446,0.134532,0.134527,0.136426,1200.000000,None,16,0,0,0
6,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.000240,0.013520,0.134887,0.136816,0.134891,0.134886,0.136797,1200.000000,None,16,0,0,0
7,0.000221,0.000221,0.000221,0.000221,0.000230,0.000230,0.000230,0.007499,0.042514,0.045880,0.042524,0.042523,0.045873,1200.000000,None,16,0,0,0
8,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.000240,0.015812,0.139699,0.141617,0.139703,0.139698,0.141598,1200.000000,None,16,0,0,0
9,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.000240,0.009456,0.062337,0.064197,0.062347,0.062346,0.064191,1200.000000,None,16,0,0,0
10,0.000221,0.000221,0.000221,0.000221,0.000240,0.000240,0.000240,0.010786,0.131279,0.133189,0.131294,0.131292,0.133183,1200.000000,None,16,0,0,0
