instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,10482.795280,10660.962990,10658.658628,10658.658628,11049.336436,12912.475382,11877.694361,35.087067,36.133722,36.172813,36.133737,878.884583,1201.992442,1200.000000,New,64,1011521,157121,65
1,9585.022018,9601.876698,9585.022018,9585.022018,10120.482007,12310.441563,10832.907478,0.663593,1.048730,1.065785,1.048744,209.807865,1202.598062,1200.000000,Farkas,64,1615332,251515,65
2,0.000221,0.000221,0.000221,0.000221,0.000230,0.000230,0.000230,0.763374,0.792639,0.796055,0.792629,0.792628,0.796028,1200.000000,Farkas,64,0,0,65
3,0.000232,0.000232,0.000232,0.000232,0.000240,0.000240,0.000240,0.983782,1.311891,1.315293,1.311901,1.311899,1.315284,1200.000000,Farkas,64,0,0,65
4,10483.513741,10662.203968,10658.647628,10658.647628,11126.295438,12916.099984,11854.371258,0.641728,1.635579,1.670784,1.635583,979.422915,1201.729293,1200.000000,Farkas,64,983626,154980,65
5,10589.299920,10621.803786,10589.299920,10589.299920,11097.066998,12434.177453,11719.464045,0.862842,2.781286,2.798197,2.781297,218.003135,1202.794293,1200.000000,Farkas,64,1589472,260253,65
6,0.000240,0.000224,0.000240,0.000240,0.000250,0.000250,0.000250,0.903260,0.969375,0.972893,0.969387,0.969386,0.972884,1200.000000,Farkas,64,0,0,65
7,0.000223,0.000223,0.000223,0.000223,0.000240,0.000240,0.000240,0.769975,0.936342,0.938284,0.936347,0.936341,0.938265,1200.000000,Farkas,64,0,0,65
8,0.000224,0.000224,0.000224,0.000224,0.000240,0.000240,0.000240,0.723959,0.783599,0.785468,0.783613,0.783613,0.785463,1200.000000,Farkas,64,0,0,65
9,4235.907337,4389.723072,4235.907337,4235.907337,5108.411083,8099.210721,5888.962336,0.741019,1.739685,1.755911,1.739698,266.865464,1202.411794,1200.000000,Farkas,64,1557163,240814,65
10,4740.965818,4740.965818,4740.965818,4740.965818,5260.634402,6688.856269,6013.815815,0.556038,1.539733,1.555661,1.539747,275.013743,1202.378340,1200.000000,Farkas,64,1515223,236908,65
