lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
20.570922,25.881188,25.708479,26.658486,34.000000,34.000000,34.000000,1.681896,2.017382,2.340737,2.017284,2.345365,3.190725,300.000000,New,16,2564,244,16
20.570922,25.881188,25.696337,26.744014,34.000000,34.000000,34.000000,0.178590,0.591296,0.942155,0.591301,0.948408,1.654242,300.000000,Old,16,2100,160,16
20.570922,25.881188,25.709375,26.689637,34.000000,34.000000,34.000000,0.180458,0.519533,0.878594,0.519547,0.884890,1.555984,300.000000,Old,16,2184,160,16
20.570922,25.881188,25.676045,26.757114,34.000000,34.000000,34.000000,0.186531,0.523455,0.800330,0.523468,0.808161,1.488318,300.000000,Old,16,1851,136,16
20.570922,25.881188,25.530451,26.420361,34.000000,34.000000,34.000000,0.173183,0.464701,0.770646,0.464716,0.776714,1.517855,300.000000,Old,16,2054,156,16
20.032382,25.048904,24.863031,25.881845,34.000000,34.000000,34.000000,0.185921,0.342972,0.659768,0.342983,0.669239,1.457667,300.000000,Old,16,2207,186,16
20.570922,25.881188,25.804663,26.656053,34.000000,34.000000,34.000000,0.186308,0.466940,0.844967,0.466951,0.851276,1.568557,300.000000,Old,16,2265,184,16
20.570922,25.881188,25.689476,26.616916,34.000000,34.000000,34.000000,0.178826,0.510811,0.773818,0.510824,0.782139,1.470512,300.000000,Old,16,1902,132,16
20.296192,25.881188,25.781478,26.506017,30.000000,30.000000,30.000000,0.183841,0.318137,0.690006,0.318152,0.696451,0.933116,300.000000,Old,16,1055,42,16
20.570922,25.851789,25.611337,26.564923,34.000000,34.000000,34.000000,0.185320,0.397845,0.771707,0.397859,0.779745,1.517458,300.000000,Old,16,2471,234,16
20.570922,25.838411,25.659081,26.403508,34.000000,34.000000,34.000000,0.183198,0.369564,0.566381,0.369575,0.572524,1.329717,300.000000,Old,16,2039,166,16
