lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
33.845278,34.115833,33.845278,34.855441,35.692079,37.000000,37.000000,1.344405,1.773784,3.196002,1.773790,3.250300,303.264781,300.000000,New,4,156244,19929,5
34.105833,34.275833,34.105833,35.484975,36.046434,38.000000,37.000000,0.146329,0.776464,2.245955,0.776467,2.288867,302.535547,300.000000,Farkas,4,172216,18591,5
34.014444,34.097500,34.014444,35.302470,36.132507,38.000000,37.000000,0.138276,0.984397,2.133313,0.984401,2.167154,302.068286,300.000000,Farkas,4,170729,20208,5
33.792778,33.956667,33.792778,35.144492,35.794166,37.000000,37.000000,0.143797,0.664506,2.098403,0.664521,2.133331,303.075969,300.000000,Farkas,4,155508,21109,5
33.761944,33.925833,33.761944,34.875773,35.737375,37.000000,37.000000,0.125906,0.538747,2.320878,0.538751,2.370170,302.058904,300.000000,Farkas,4,157989,20992,5
33.280778,33.444667,33.280778,34.269276,35.163390,37.000000,37.000000,0.149192,0.807471,2.327730,0.807475,2.368547,303.086381,300.000000,Farkas,4,139618,22981,5
33.845278,34.049444,33.845278,35.020555,35.850728,37.000000,37.000000,0.141714,0.581792,2.231904,0.581795,2.281219,302.546945,300.000000,Farkas,4,145899,22288,5
33.584861,33.748750,33.584861,34.531009,35.427184,36.000000,36.000000,0.151824,0.559690,1.485780,0.559695,1.541458,302.150465,300.000000,Farkas,4,169599,19885,5
33.518333,33.699167,33.518333,34.435160,35.412922,37.000000,36.000000,0.152920,0.601084,1.614616,0.601086,1.694111,302.052971,300.000000,Farkas,4,177948,19953,5
32.905000,32.960000,32.905000,34.303417,35.183617,37.000000,36.000000,0.148310,0.507522,1.992894,0.507527,2.026488,301.896014,300.000000,Farkas,4,167076,20862,5
33.845278,34.009167,33.845278,35.073585,35.724961,37.000000,37.000000,0.131981,0.716018,2.252837,0.716022,2.310352,301.815371,300.000000,Farkas,4,158698,18892,5
