instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,183975.539693,187492.196196,184778.476729,186812.699003,186812.699003,188182.000000,188182.000000,29.000135,32.449736,34.731975,32.449608,32.449551,34.740580,1200.000000,New,64,1052,0,112
1,182999.979940,186520.787048,183764.716823,186482.666061,186482.666061,189454.700000,188272.400000,48.032887,48.888593,50.309593,48.888599,54.046742,54.053398,1200.000000,Old,64,1915,68,112
2,182035.791449,185053.869683,182786.002276,184674.812608,186672.100000,186672.100000,186672.100000,29.330243,32.269112,33.572476,32.269127,33.812968,48.123195,1200.000000,Old,64,12304,834,112
3,182043.968054,185305.246005,182866.080030,185814.905472,185814.905472,187600.700000,186833.200000,97.469612,99.453309,100.522016,99.453318,99.453315,100.528821,1200.000000,Old,64,664,0,112
4,182783.259527,185939.135998,183565.983159,186472.669154,186472.669154,188010.100000,188010.100000,19.753581,22.195146,25.664227,22.195152,22.195147,25.676774,1200.000000,Old,64,1165,0,112
5,184310.443333,187474.589752,185079.639082,187214.280965,187214.280965,188665.300000,188665.300000,27.820062,30.238042,30.554091,30.238047,30.238041,30.559609,1200.000000,Old,64,189,0,112
6,183631.402272,186782.752085,184411.567898,187291.911761,187403.749479,189392.500000,189171.400000,27.180216,28.927872,30.518394,28.927878,31.658225,31.782626,1200.000000,Old,64,1017,4,112
7,179390.224702,182679.380041,181580.945317,182295.179146,182295.179146,183978.900000,183978.900000,48.597245,51.673876,52.046642,51.673880,51.673875,52.051803,1200.000000,Old,64,152,0,112
8,181412.385261,183907.753515,182439.184748,184466.790504,186338.500000,186805.600000,186338.500000,85.430111,87.915210,89.449139,87.915215,93.604827,110.994485,1200.000000,Old,64,18550,794,112
9,184455.180606,187460.913140,185250.312205,187264.669779,187264.669779,189068.700000,189068.700000,44.731157,47.018455,47.581914,47.018467,47.018466,47.589570,1200.000000,Old,64,240,0,112
10,183000.608758,186136.964463,183802.807743,186071.532170,186071.532170,189321.200000,187903.900000,18.105628,19.303118,21.080603,19.303123,23.064791,23.070048,1200.000000,Old,64,1561,22,112
