instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,8877.000000,9106.523810,9098.791492,9962.000000,11448.761905,17928.000000,14393.000000,22.033815,23.890214,24.194985,23.890219,609.746840,1201.572353,1200.000000,New,16,761297,79303,156
1,8880.428571,9110.937603,9086.219754,10488.000000,11750.955734,100000000000000007629769841091887003294964970946560.000000,14429.000000,3.459833,3.765379,4.180990,4.934195,487.491682,1201.300323,1200.000000,Farkas,16,879609,69488,156
2,8739.571429,8944.333333,8739.571429,9341.000000,11284.428571,17429.000000,11389.000000,2.840271,3.612792,3.844299,3.612808,107.000640,145.523687,1200.000000,Farkas,16,165550,16904,156
3,8840.953668,9056.904762,8942.621741,10488.000000,11821.857078,21779.000000,12708.000000,2.922900,3.292723,3.772378,3.292737,1186.951409,1201.192098,1200.000000,Farkas,16,962494,84359,156
4,9253.428571,9410.928571,9253.428571,13092.994852,13326.000000,15728.000000,13326.000000,2.840655,3.347722,3.852742,3.347735,37.069650,40.845388,1200.000000,Farkas,16,42763,4237,156
5,8858.500000,9081.952381,8937.299283,10681.000000,11434.642857,27886.000000,11547.000000,2.854930,3.201718,3.606807,3.201733,248.277319,301.481387,1200.000000,Farkas,16,248966,19780,156
6,8893.915584,9147.074176,8965.819231,9962.000000,11188.000000,29313.000000,11188.000000,2.389476,3.055076,3.330887,3.055081,37.071334,70.487742,1200.000000,Farkas,16,68181,4993,156
7,8878.142857,9111.446429,9098.937103,10240.999266,10926.000000,100000000000000007629769841091887003294964970946560.000000,10926.000000,2.780052,3.180392,3.790525,4.694921,25.707900,37.915869,1200.000000,Farkas,16,34698,2287,156
8,8638.942857,8843.704762,8638.942857,8917.000000,12024.857143,100000000000000007629769841091887003294964970946560.000000,12145.000000,2.902405,3.633270,3.821814,4.428779,453.966523,534.402041,1200.000000,Farkas,16,615672,66425,156
9,8870.714286,9106.523810,8961.775138,10674.177095,11556.964286,100000000000000007629769841091887003294964970946560.000000,14393.000000,2.441323,2.661899,5.319689,6.440666,623.436570,1201.562862,1200.000000,Farkas,16,765287,81806,156
10,8767.190476,9026.809524,8767.190476,10264.000000,11845.190270,100000000000000007629769841091887003294964970946560.000000,11964.000000,2.769837,3.058173,3.752910,4.566752,600.129034,640.280500,1200.000000,Farkas,16,544015,47306,156
