instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,183975.539693,187492.196196,184778.476729,186812.699003,186812.699003,188182.000000,188182.000000,28.404167,31.850989,34.127875,31.850861,31.850802,34.136629,1200.000000,New,64,1052,0,112
1,182999.979940,186520.787048,183764.716823,186722.061545,186722.061545,189454.700000,188492.800000,4.016672,4.868069,6.899163,4.868076,37.360672,37.358618,1200.000000,Farkas,64,26631,1713,112
2,182035.791449,185053.869683,182786.002276,184673.125570,186672.100000,186672.100000,186672.100000,4.239422,7.183787,8.429341,7.183802,8.654166,22.635266,1200.000000,Farkas,64,13962,770,112
3,182043.968054,185305.246005,182866.080030,185804.214107,185804.214107,187600.700000,186807.100000,3.896188,5.881742,10.375616,5.881753,5.881751,10.385372,1200.000000,Farkas,64,1810,0,112
4,182783.259527,185939.135998,183565.983159,186559.729979,186559.729979,188010.100000,188010.100000,4.137295,6.588759,9.630422,6.588771,6.588769,9.643492,1200.000000,Farkas,64,1063,0,112
5,184310.443333,187474.589752,185079.639082,187214.281003,187214.281003,188665.300000,188665.300000,3.911733,6.337227,6.639323,6.337241,6.337239,6.644657,1200.000000,Farkas,64,200,0,112
6,183631.402272,186782.752085,184411.567898,187625.988393,187625.988393,189392.500000,189149.400000,4.005144,5.756571,8.224852,5.756578,5.756573,8.232934,1200.000000,Farkas,64,1048,0,112
7,179390.224702,182679.380041,180177.625643,182335.876644,182335.876644,183978.900000,183978.900000,4.193160,7.275772,9.893839,7.275780,7.275775,9.902681,1200.000000,Farkas,64,1017,0,112
8,181412.385261,183907.753515,182148.610531,184483.388706,184483.388706,186805.600000,186338.500000,4.089544,6.578977,8.318290,6.578985,21.314320,21.316552,1200.000000,Farkas,64,11024,632,112
9,184455.180606,187460.913140,185250.312205,187264.669790,187264.669790,189068.700000,189068.700000,4.027509,6.325594,6.853838,6.325608,6.325607,6.860103,1200.000000,Farkas,64,228,0,112
10,183000.608758,186136.964463,183802.807743,186505.568840,186505.568840,189321.200000,188383.400000,3.789832,4.993946,7.305418,4.993951,15.415717,15.421251,1200.000000,Farkas,64,4878,260,112
