lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
44.555312,44.946452,44.586994,46.780249,46.780249,53.000000,49.000000,12.356261,13.351408,17.053197,13.351426,22.159232,300.117000,300.000000,New,4,140740,9080,4
44.585850,44.979503,44.614702,45.863690,47.004317,52.000000,49.000000,0.373994,1.455817,4.851389,1.455835,13.414026,300.182545,300.000000,Farkas,4,129403,11247,4
44.555312,44.926938,44.586994,46.370387,46.370387,51.000000,50.000000,0.358493,1.722182,5.929200,1.722196,6.650832,300.154173,300.000000,Farkas,4,129165,10892,4
44.538906,44.936101,44.538906,46.719383,47.383063,50.000000,49.000000,0.370961,1.395401,4.226422,1.395406,4.367963,300.224067,300.000000,Farkas,4,128173,11196,4
44.555312,44.946452,44.586994,46.718779,46.718779,52.000000,49.000000,0.371344,1.662471,5.576602,1.662487,5.635145,300.142723,300.000000,Farkas,4,130938,9809,4
44.555312,44.946452,44.586994,46.675326,46.675326,53.000000,49.000000,0.394793,1.391851,5.203957,1.391856,5.359472,300.116348,300.000000,Farkas,4,120936,10318,4
44.519023,44.875773,44.548768,46.642677,47.033480,51.000000,49.000000,0.402382,1.325492,4.790766,1.325500,4.891273,300.178572,300.000000,Farkas,4,137651,11107,4
44.555313,44.946452,44.586994,46.719622,46.719622,52.000000,49.000000,0.380734,1.446683,4.815173,1.446689,4.911974,300.125694,300.000000,Farkas,4,140537,10160,4
44.555312,44.946452,44.586994,46.577387,46.577387,51.000000,49.000000,0.392420,1.346093,5.079487,1.346097,5.731246,300.125380,300.000000,Farkas,4,119444,8507,4
44.555312,44.946452,44.586994,46.409549,46.409549,51.000000,49.000000,0.390862,1.660376,5.602628,1.660380,5.706071,300.100069,300.000000,Farkas,4,140748,10278,4
44.555312,44.946452,44.586994,46.353878,46.988450,52.000000,49.000000,0.395772,1.353407,4.915786,1.353411,5.800837,300.139193,300.000000,Farkas,4,118857,11102,4
