instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,183975.539693,187492.196196,184778.476729,186812.699003,186812.699003,188182.000000,188182.000000,28.991990,32.441409,34.708148,32.441285,32.441230,34.716767,1200.000000,New,64,1052,0,112
1,17828.209814,17828.209814,17828.209814,18591.930556,18591.930556,0.000000,18591.930556,8.908794,0.000000,8.946395,8.943658,0.000000,8.946375,1200.000000,Farkas,64,0,0,112
2,9635.652752,9635.652752,9635.652752,9635.652752,9635.652752,0.000000,9648.418256,6.803972,0.000000,7.096899,7.094131,7.094132,7.096895,1200.000000,Farkas,64,0,0,112
3,11370.467785,11370.467785,11370.467785,11482.697203,11670.406418,11670.406418,11670.406418,9.855182,10.199101,10.219540,10.199115,10.226152,10.249198,1200.000000,Farkas,64,33,4,112
4,8962.623323,8962.623323,8962.623323,8963.385917,8963.385917,0.000000,8963.385917,7.385340,0.000000,7.417480,7.414831,7.414830,7.417472,1200.000000,Farkas,64,0,0,112
5,15113.674583,15113.674583,15113.674583,15113.674583,15113.674583,0.000000,15113.674583,11.576320,0.000000,11.609828,11.607147,11.607147,11.609820,1200.000000,Farkas,64,0,0,112
6,8398.241789,8398.241789,8398.241789,8398.241789,8398.241789,0.000000,8404.798744,7.610111,0.000000,7.849959,7.847267,7.847267,7.849952,1200.000000,Farkas,64,0,0,112
7,11528.320694,11528.320694,11528.320694,11666.476003,11666.476003,0.000000,11685.839013,12.770730,0.000000,13.118666,13.115802,13.115789,13.118646,1200.000000,Farkas,64,0,0,112
8,11069.570388,11069.570388,11069.570388,11069.570388,11069.570388,0.000000,11093.104889,10.159300,0.000000,10.422516,10.419769,10.419769,10.422510,1200.000000,Farkas,64,0,0,112
9,9384.350822,9384.350822,9384.350822,9384.350822,9384.350822,0.000000,9384.350822,7.867571,0.000000,7.897030,7.894397,7.894392,7.897012,1200.000000,Farkas,64,0,0,112
