instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,38893.903641,38962.268924,38956.149375,38956.149375,39499.726325,40560.054142,40005.054142,6.643118,7.076306,7.102475,7.076321,280.414572,1202.185438,1200.000000,New,16,1214137,208651,17
1,0.000222,0.000223,0.000222,0.000222,0.000230,0.000230,0.000230,0.262426,0.323084,0.326344,0.323096,0.323095,0.326336,1200.000000,Farkas,16,0,0,17
2,0.000215,0.000215,0.000215,0.000215,0.000230,0.000230,0.000230,0.231063,0.303269,0.305085,0.303279,0.303278,0.305076,1200.000000,Farkas,16,0,0,17
3,0.000216,0.000216,0.000216,0.000216,0.000230,0.000230,0.000230,0.237869,0.297535,0.299378,0.297547,0.297546,0.299373,1200.000000,Farkas,16,0,0,17
4,0.000215,0.000215,0.000215,0.000215,0.000220,0.000220,0.000220,0.241109,0.280099,0.283365,0.280114,0.280114,0.283360,1200.000000,Farkas,16,0,0,17
5,0.000215,0.000215,0.000215,0.000215,0.000230,0.000230,0.000230,0.234556,0.299665,0.301481,0.299676,0.299675,0.301473,1200.000000,Farkas,16,0,0,17
6,0.000215,0.000215,0.000215,0.000215,0.000230,0.000230,0.000230,0.247110,0.344113,0.345953,0.344125,0.344125,0.345946,1200.000000,Farkas,16,0,0,17
7,0.000214,0.000214,0.000214,0.000214,0.000230,0.000230,0.000230,0.236286,0.327399,0.329207,0.327405,0.327399,0.329189,1200.000000,Farkas,16,0,0,17
8,0.000215,0.000215,0.000215,0.000215,0.000220,0.000220,0.000220,0.253754,0.277876,0.281140,0.277881,0.277877,0.281122,1200.000000,Farkas,16,0,0,17
9,0.000216,0.000216,0.000216,0.000216,0.000230,0.000230,0.000230,0.234311,0.335592,0.337435,0.335605,0.335604,0.337427,1200.000000,Farkas,16,0,0,17
10,0.000217,0.000217,0.000217,0.000217,0.000230,0.000230,0.000230,0.254923,0.302357,0.304191,0.302361,0.302356,0.304172,1200.000000,Farkas,16,0,0,17
