instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,38893.903641,39041.736508,39039.710779,39039.710779,39518.939365,40560.054142,40005.054142,33.707480,34.141449,34.182591,34.141462,390.777527,1202.097258,1200.000000,New,64,1210805,199444,65
1,0.000222,0.000223,0.000222,0.000222,0.000230,0.000230,0.000230,3.268179,3.324396,3.327688,3.324407,3.324406,3.327678,1200.000000,Old,64,0,0,65
2,0.000215,0.000215,0.000215,0.000215,0.000230,0.000230,0.000230,2.479816,2.547446,2.549251,2.547460,2.547460,2.549246,1200.000000,Old,64,0,0,65
3,0.000216,0.000216,0.000216,0.000216,0.000230,0.000230,0.000230,3.719211,3.774359,3.776189,3.774367,3.774365,3.776178,1200.000000,Old,64,0,0,65
4,0.000215,0.000215,0.000215,0.000215,0.000220,0.000220,0.000220,5.355267,5.389873,5.393111,5.389875,5.389869,5.393093,1200.000000,Old,64,0,0,65
5,0.000215,0.000215,0.000215,0.000215,0.000230,0.000230,0.000230,3.382737,3.443284,3.445105,3.443295,3.443295,3.445099,1200.000000,Old,64,0,0,65
6,0.000215,0.000215,0.000215,0.000215,0.000230,0.000230,0.000230,3.238878,3.331603,3.333449,3.331616,3.331615,3.333444,1200.000000,Old,64,0,0,65
7,0.000214,0.000214,0.000214,0.000214,0.000230,0.000230,0.000230,3.452836,3.539553,3.541405,3.539567,3.539566,3.541400,1200.000000,Old,64,0,0,65
8,0.000215,0.000215,0.000215,0.000215,0.000220,0.000220,0.000220,3.831119,3.850864,3.854134,3.850877,3.850877,3.854128,1200.000000,Old,64,0,0,65
9,0.000216,0.000216,0.000216,0.000216,0.000230,0.000230,0.000230,8.238262,8.335228,8.337060,8.335239,8.335239,8.337054,1200.000000,Old,64,0,0,65
10,0.000217,0.000217,0.000217,0.000217,0.000230,0.000230,0.000230,3.643321,3.686301,3.688128,3.686311,3.686310,3.688119,1200.000000,Old,64,0,0,65
