lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.007986,0.423800,0.763103,0.423787,0.768706,1.365972,300.000000,None,4,2021,186,0
20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.001792,0.334120,0.681224,0.334134,0.686837,1.284213,300.000000,None,4,2021,186,0
20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.001806,0.334354,0.672845,0.334366,0.678474,1.342312,300.000000,None,4,2149,216,0
20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.001802,0.342864,0.680977,0.342876,0.686612,1.283428,300.000000,None,4,2020,186,0
20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.002119,0.336981,0.674452,0.336992,0.680000,1.277842,300.000000,None,4,2027,186,0
20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.001831,0.343830,0.682220,0.343842,0.687795,1.285802,300.000000,None,4,2021,186,0
20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.001830,0.344781,0.682884,0.344795,0.688490,1.286540,300.000000,None,4,2021,186,0
20.570922,20.570922,20.570922,25.254804,34.000000,34.000000,34.000000,0.001819,0.319293,0.657572,0.319304,0.663201,1.277768,300.000000,None,4,2005,192,0
20.506657,20.506657,20.506657,24.639735,34.000000,34.000000,34.000000,0.004287,0.364618,0.711523,0.364622,0.717206,1.279014,300.000000,None,4,1781,132,0
20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.001823,0.334514,0.673883,0.334526,0.679558,1.277933,300.000000,None,4,2020,186,0
20.570922,20.570922,20.570922,25.172171,34.000000,34.000000,34.000000,0.001839,0.334537,0.601712,0.334552,0.608262,1.070411,300.000000,None,4,1573,118,0
