instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,20.570922,22.537880,22.537880,25.012028,34.000000,34.000000,34.000000,0.488790,0.822493,1.188464,0.822430,1.198472,1.776923,1200.000000,New,4,1960,140,4
1,20.015650,21.861942,21.804306,24.627566,33.000000,33.000000,33.000000,0.053745,0.161973,0.559416,0.161977,0.566735,1.066647,1200.000000,Old,4,1852,140,4
2,20.307934,22.278507,22.278507,24.711586,34.000000,34.000000,34.000000,0.052184,0.373210,0.739179,0.373217,0.746322,1.449799,1200.000000,Old,4,2283,168,4
3,20.867510,22.677383,22.677383,26.426598,34.000000,34.000000,34.000000,0.053536,0.341472,0.709378,0.341485,0.716964,1.171498,1200.000000,Old,4,1521,92,4
4,20.786773,22.538113,22.538113,25.653343,34.000000,34.000000,34.000000,0.054379,0.415577,0.802039,0.415593,0.808447,1.314535,1200.000000,Old,4,1860,110,4
5,20.877963,22.900434,22.900434,25.602848,31.000000,31.000000,31.000000,0.052251,0.137058,0.578039,0.137072,0.586115,0.900272,1200.000000,Old,4,1448,76,4
6,20.077726,21.649516,21.649516,25.105328,31.000000,31.000000,31.000000,0.048708,0.300645,0.724160,0.300657,0.730905,1.023428,1200.000000,Old,4,1444,50,4
7,20.661706,22.537880,22.537880,25.741480,34.000000,34.000000,34.000000,0.052793,0.300766,0.668282,0.300780,0.672923,1.252931,1200.000000,Old,4,1982,136,4
8,21.640111,23.473765,23.473765,25.831283,34.000000,34.000000,34.000000,0.055114,0.231210,0.621308,0.231219,0.626801,1.110972,1200.000000,Old,4,1762,88,4
9,20.570922,22.537880,22.537880,25.012028,33.000000,33.000000,33.000000,0.051526,0.402415,0.767584,0.402429,0.777761,1.282196,1200.000000,Old,4,1910,130,4
10,20.296192,22.398376,22.398376,24.803428,30.000000,30.000000,30.000000,0.051590,0.169112,0.535913,0.169123,0.542707,0.807107,1200.000000,Old,4,1136,42,4
