instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,8877.000000,9106.523810,9098.791492,9962.000000,11448.761905,17928.000000,14393.000000,22.485028,24.351971,24.659071,24.351839,611.671927,1201.584479,1200.000000,New,16,758953,79047,156
1,8939.142857,9079.642857,9079.642857,10677.110398,11015.000000,11581.000000,11015.000000,4.733221,5.598447,7.004937,5.598460,21.655877,26.077787,1200.000000,Old,16,19965,1450,156
2,8877.000000,9106.523810,9106.523810,9962.000000,11532.666667,100000000000000007629769841091887003294964970946560.000000,11646.000000,4.619229,4.843340,5.269880,6.004703,213.740569,473.921139,1200.000000,Old,16,378334,34545,156
3,8877.000000,9106.523810,9106.523810,9962.000000,11407.666667,16947.000000,14410.000000,4.931627,6.596400,6.976420,6.596417,782.662124,1201.506827,1200.000000,Old,16,714230,76715,156
4,8885.428571,9106.523810,9098.318141,10155.000000,11400.600000,100000000000000007629769841091887003294964970946560.000000,11512.000000,4.633802,4.899260,5.958173,6.701672,164.565742,280.062166,1200.000000,Old,16,236041,20953,156
5,8877.000000,9106.523810,9102.790847,9962.000000,11229.500000,23142.000000,11337.000000,4.658853,5.291745,5.704029,5.291755,242.944258,324.711401,1200.000000,Old,16,255223,22663,156
6,8878.142857,9109.952381,9099.790021,10241.000000,11279.714286,100000000000000007629769841091887003294964970946560.000000,11393.000000,5.270675,6.105018,6.577708,7.419758,250.576798,282.907230,1200.000000,Old,16,244393,19843,156
7,8885.428571,9106.523810,9106.523810,9962.000000,11143.500000,12349.000000,11255.000000,4.632067,5.103010,5.248128,5.103027,156.931689,160.507143,1200.000000,Old,16,143248,12520,156
8,8877.000000,9106.523810,9050.199845,10488.000000,11361.773810,100000000000000007629769841091887003294964970946560.000000,14435.000000,4.255631,4.536243,7.924412,13.808138,662.944107,1201.532094,1200.000000,Old,16,673859,75418,156
9,8877.000000,9106.523810,9087.718901,9962.000000,11380.142857,100000000000000007629769841091887003294964970946560.000000,14393.000000,6.848769,7.679030,8.003184,8.858468,245.874550,1201.343077,1200.000000,Old,16,775082,76865,156
