instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,20.570922,22.537880,22.537880,25.012028,34.000000,34.000000,34.000000,0.599481,0.932578,1.300935,0.932517,1.310976,1.889469,1200.000000,New,4,1960,140,4
1,20.570922,22.537880,22.537880,25.019481,34.000000,34.000000,34.000000,0.017508,0.430349,0.799861,0.430362,0.809895,1.425179,1200.000000,Farkas,4,2124,136,4
2,20.570922,22.537880,22.537880,25.321621,34.000000,34.000000,34.000000,0.019020,0.359111,0.768562,0.359123,0.775765,1.628538,1200.000000,Farkas,4,2677,196,4
3,20.570922,22.537880,22.537880,25.031592,34.000000,34.000000,34.000000,0.017442,0.355114,0.752502,0.355129,0.758785,1.376153,1200.000000,Farkas,4,1989,152,4
4,20.570922,22.537880,22.537880,25.576541,34.000000,34.000000,34.000000,0.021148,0.322747,0.702208,0.322751,0.708152,1.343246,1200.000000,Farkas,4,2100,142,4
5,20.032382,21.917689,21.618982,24.375585,34.000000,34.000000,34.000000,0.020206,0.185040,0.569990,0.185044,0.576104,1.271374,1200.000000,Farkas,4,2242,184,4
6,20.570922,22.537880,22.537880,24.796640,34.000000,34.000000,34.000000,0.020141,0.300867,0.672099,0.300871,0.678681,1.281191,1200.000000,Farkas,4,2084,140,4
7,20.570922,22.537880,22.537880,24.992715,34.000000,34.000000,34.000000,0.020801,0.352424,0.748735,0.352428,0.755283,1.471685,1200.000000,Farkas,4,2408,176,4
8,20.296192,22.398376,21.903355,25.173483,30.000000,30.000000,30.000000,0.019621,0.161954,0.556214,0.161958,0.563310,0.725912,1200.000000,Farkas,4,1071,26,4
9,20.570922,22.537880,22.537880,25.053523,34.000000,34.000000,34.000000,0.020031,0.240903,0.608960,0.240910,0.615234,1.313438,1200.000000,Farkas,4,2152,142,4
10,20.570922,22.537880,22.501552,24.836530,34.000000,34.000000,34.000000,0.018302,0.205047,0.598034,0.205063,0.606078,1.454117,1200.000000,Farkas,4,2483,204,4
