instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,183975.539693,184727.732157,184345.962550,186683.154128,186683.154128,188182.000000,188182.000000,5.093169,8.543262,9.567866,8.543135,8.543077,9.577468,1200.000000,New,4,459,0,5
1,184120.355247,184844.398339,184469.567346,186830.147752,186830.147752,188500.600000,188500.600000,0.343435,3.290961,4.536599,3.290972,3.290969,4.544249,1200.000000,Farkas,4,494,0,5
2,183975.692175,184725.270268,184339.084661,186868.714161,186868.714161,188242.100000,188242.100000,0.341413,2.855802,3.369490,2.855806,2.855801,3.376352,1200.000000,Farkas,4,284,0,5
3,183964.132000,184716.324465,184334.554857,187036.192420,187036.192420,188183.000000,188183.000000,0.336253,4.136287,5.424454,4.136303,4.136303,5.433898,1200.000000,Farkas,4,624,0,5
4,184744.565200,185482.025295,185115.745413,187479.733724,187479.733724,189215.300000,189215.300000,0.341801,3.805497,5.559444,3.805508,3.805504,5.568718,1200.000000,Farkas,4,847,0,5
5,180998.836679,181760.172268,181382.076490,184131.364468,184131.364468,185398.100000,185398.100000,0.346426,2.450810,6.171715,2.450824,2.450824,6.186260,1200.000000,Farkas,4,1326,0,5
6,183151.888410,183896.654249,183524.437446,185365.515090,187571.500000,187571.500000,187571.500000,0.339840,2.491338,4.784032,2.491352,7.075921,9.917777,1200.000000,Farkas,4,4284,104,5
7,183247.027318,183990.091366,183609.654535,186548.780893,186548.780893,187605.000000,187605.000000,0.341159,3.295004,7.977877,3.295016,3.295015,7.993117,1200.000000,Farkas,4,1879,0,5
8,183706.760304,184463.866095,184082.977447,186779.470920,186779.470920,188077.200000,188077.200000,0.336614,3.676524,6.387511,3.676537,3.676535,6.402337,1200.000000,Farkas,4,963,0,5
9,183991.249556,184713.394459,184319.817743,186961.602660,186961.602660,188368.100000,188368.100000,0.338294,3.616309,9.599525,3.616317,3.616314,9.614143,1200.000000,Farkas,4,2156,0,5
10,183465.011815,184195.889411,183833.072413,186854.919498,186854.919498,187948.200000,187948.200000,0.342519,2.211351,4.228658,2.211363,2.211362,4.238087,1200.000000,Farkas,4,890,0,5
