instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.031289,1.692568,2.028269,1.692459,2.033781,2.626760,1200.000000,None,64,2021,186,0
1,20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.004044,0.337605,0.673352,0.337606,0.678963,1.272518,1200.000000,None,64,2021,186,0
2,20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.004427,0.348323,0.683310,0.348324,0.688842,1.338550,1200.000000,None,64,2149,216,0
3,20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.004398,0.337535,0.672318,0.337536,0.677864,1.271258,1200.000000,None,64,2020,186,0
4,20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.004437,0.337175,0.671843,0.337178,0.677380,1.271145,1200.000000,None,64,2027,186,0
5,20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.004081,0.348082,0.689834,0.348089,0.695450,1.301937,1200.000000,None,64,2021,186,0
6,20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.003817,0.354046,0.707430,0.354048,0.713468,1.338067,1200.000000,None,64,2021,186,0
7,20.570922,20.570922,20.570922,25.254804,34.000000,34.000000,34.000000,0.004506,0.323428,0.657985,0.323429,0.663540,1.273893,1200.000000,None,64,2005,192,0
8,20.506657,20.506657,20.506657,24.639735,34.000000,34.000000,34.000000,0.001730,0.347587,0.691007,0.347597,0.696658,1.255029,1200.000000,None,64,1781,132,0
9,20.570922,20.570922,20.570922,25.254803,34.000000,34.000000,34.000000,0.002340,0.335084,0.670008,0.335095,0.675670,1.268962,1200.000000,None,64,2020,186,0
10,20.570922,20.570922,20.570922,25.172171,34.000000,34.000000,34.000000,0.002345,0.334438,0.599158,0.334448,0.605641,1.064062,1200.000000,None,64,1573,118,0
