lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
100.878750,103.667000,102.723256,112.026540,115.685277,122.000000,120.000000,13.884964,14.339288,16.622707,14.339299,153.173431,300.221153,300.000000,New,16,162416,14832,19
101.046250,101.117500,102.844647,111.269893,115.406346,128.000000,122.000000,0.479152,1.372805,3.748311,1.372820,173.748358,300.226643,300.000000,Farkas,16,157276,15796,19
101.680200,103.042500,103.102105,113.924553,118.070507,132.000000,121.000000,0.498702,0.977660,3.666458,0.977664,14.452876,300.232536,300.000000,Farkas,16,183115,15065,19
102.425000,103.952500,103.509069,110.846179,115.699217,127.000000,123.000000,0.558871,1.014023,3.467330,1.014035,22.754106,300.242670,300.000000,Farkas,16,166849,15548,19
101.207083,103.306042,102.721248,112.859303,117.165397,125.000000,121.000000,0.535212,1.067407,3.526814,1.067409,12.174221,300.251307,300.000000,Farkas,16,160342,16300,19
99.725938,100.784167,100.800667,111.319657,114.800107,124.000000,120.000000,0.539508,1.082008,3.609234,1.082012,3.973700,300.293604,300.000000,Farkas,16,162232,15532,19
100.668229,103.154306,102.076279,108.062151,113.493081,123.000000,120.000000,0.540795,1.042307,4.049175,1.042309,242.121961,300.244115,300.000000,Farkas,16,163275,15596,19
103.823125,106.020000,104.540370,119.940133,125.000000,135.000000,125.000000,0.650776,1.109934,3.510799,1.109949,6.020628,184.798773,300.000000,Farkas,16,125964,11512,19
99.319688,100.572500,100.707421,109.238766,112.856078,125.000000,117.000000,0.542450,1.027451,3.595699,1.027462,4.126552,300.182489,300.000000,Farkas,16,181108,14643,19
100.982188,102.355000,102.323577,113.413696,117.047974,125.000000,120.000000,0.533385,1.218872,3.661147,1.218874,115.712419,300.249315,300.000000,Farkas,16,161404,15066,19
100.346250,101.940000,101.729138,108.325512,114.809624,125.000000,118.000000,0.520511,0.960431,3.189184,0.960435,97.740427,300.224082,300.000000,Farkas,16,186633,15135,19
