instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,38893.903641,38893.903641,38893.903641,38893.903641,39583.904266,40560.054142,40005.054142,0.011395,0.456157,0.469418,0.456164,39.898073,1218.753076,1200.000000,None,4,2018234,338201,0
1,38947.624335,38947.624335,38947.624335,38947.624335,39667.457189,41784.621111,40139.476677,0.008959,0.414620,0.432117,0.414629,304.792105,1202.976513,1200.000000,None,4,1925235,333526,0
2,39083.006612,39083.006612,39083.006612,39083.006612,39713.709045,41206.000149,40114.054142,0.009710,0.994334,1.007605,0.994345,1.284405,152.241306,1200.000000,None,4,253777,42538,0
3,6170.790227,6170.790227,6170.790227,6170.790227,7708.133479,8599.632368,7785.779807,0.010111,0.750831,0.772274,0.750843,134.374481,364.283013,1200.000000,None,4,653054,104673,0
4,0.000226,0.000226,0.000226,0.000226,0.000250,0.000250,0.000250,0.009768,0.260125,0.261917,0.260136,0.260135,0.261908,1200.000000,None,4,0,0,0
5,6868.643675,6868.643675,6868.643675,6868.643675,7980.204035,8345.264210,8059.666880,0.008951,0.702591,0.714464,0.702603,0.719049,316.958692,1200.000000,None,4,607361,108101,0
6,26789.154424,26789.154424,26789.154424,26789.154424,27970.578517,28347.054162,28322.977950,0.008305,0.744831,0.757805,0.744842,0.762573,1202.778078,1200.000000,None,4,2362621,405012,0
7,39017.862481,39017.862481,39017.862481,39017.862481,39719.929508,40896.750580,40120.912263,0.008844,0.950626,0.961538,0.950636,41.374298,946.791271,1200.000000,None,4,1566891,265375,0
8,31570.030942,31570.030942,31570.030942,31570.030942,32217.742840,33245.977930,32541.610480,0.009310,0.362291,0.373861,0.362301,112.459252,321.712688,1200.000000,None,4,616226,110037,0
9,38893.866551,38893.866551,38893.866551,38893.866551,39584.109048,40560.054142,40005.054142,0.006924,0.416840,0.429768,0.416853,42.923380,1203.028133,1200.000000,None,4,2022566,340144,0
