instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,183975.539693,184727.732157,184345.962550,186683.154128,186683.154128,188182.000000,188182.000000,5.219807,8.676628,9.696740,8.676500,8.676443,9.706372,1200.000000,New,4,459,0,5
1,129248.735776,130680.338012,129248.735776,133840.111446,134607.804147,135313.550000,135303.550000,0.326806,2.041464,3.597391,2.041473,5.435094,5.890268,1200.000000,Farkas,4,1949,53,5
2,76066.774450,77911.098272,76066.774450,103499.118937,103727.060861,105382.850000,104582.850000,0.271150,0.873087,1.686262,0.873089,2.033580,2.109496,1200.000000,Farkas,4,605,4,5
3,105708.295533,106873.804257,105708.295533,114212.743683,117917.016667,117917.016667,117917.016667,0.354738,2.421081,4.579499,2.421096,4.704952,8.180750,1200.000000,Farkas,4,3970,152,5
4,69979.117849,70464.011697,69979.117849,100926.034396,106760.744444,109886.811111,106760.744444,0.306795,1.400006,3.464965,1.400019,16.466545,21.256902,1200.000000,Farkas,4,18221,1014,5
5,29138.989795,30250.238283,29138.989795,32846.566214,33460.616667,33860.616667,33460.616667,0.359496,0.842788,0.965612,0.842797,0.989042,1.284177,1200.000000,Farkas,4,314,16,5
6,120887.045617,121783.566442,120994.696052,130155.687321,130155.687321,130434.550000,130155.700000,0.486099,2.668306,3.212024,2.668314,2.668309,3.219010,1200.000000,Farkas,4,383,0,5
7,42134.783932,42875.398750,42134.783932,56974.800969,56974.800969,57465.266667,57465.266667,0.302716,1.484477,1.809396,1.484486,1.484483,1.812601,1200.000000,Farkas,4,51,0,5
8,33738.308571,34829.014183,33738.308571,39839.115798,44342.181944,44347.619444,44342.181944,0.338966,1.093051,2.865836,1.093056,4.894963,6.530576,1200.000000,Farkas,4,4156,146,5
9,110599.068401,111586.943286,110599.068401,116055.598141,118809.531711,119747.850000,119747.850000,0.234624,2.043913,2.339075,2.043921,2.396152,6.542420,1200.000000,Farkas,4,3902,196,5
10,90849.832697,91990.656139,90849.832697,96121.835907,99168.400000,102910.500000,99168.400000,0.281422,1.153137,1.635600,1.153151,6.320502,6.937115,1200.000000,Farkas,4,4480,246,5
