instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,20.570922,25.881188,25.708479,26.658486,34.000000,34.000000,34.000000,1.475319,1.808868,2.128716,1.808742,2.133330,2.976324,1200.000000,New,16,2564,244,16
1,20.570922,25.881188,25.696337,26.744014,34.000000,34.000000,34.000000,0.577074,0.987143,1.333211,0.987145,1.339484,2.112818,1200.000000,New,16,2152,186,16
2,20.570922,26.956415,26.685633,27.385933,34.000000,34.000000,34.000000,0.578946,0.916559,1.273541,0.916572,1.282231,2.152752,1200.000000,New,16,2450,196,16
3,20.570922,25.881188,25.703193,26.765615,34.000000,34.000000,34.000000,0.602397,0.944488,1.320784,0.944497,1.325588,2.060242,1200.000000,New,16,2310,184,16
4,20.570922,25.881188,25.530451,26.420361,34.000000,34.000000,34.000000,0.571165,0.862008,1.163633,0.862020,1.169723,1.850276,1200.000000,New,16,1930,138,16
5,20.032382,25.948553,25.566203,26.430679,34.000000,34.000000,34.000000,0.569623,0.726010,1.036292,0.726025,1.042612,1.801000,1200.000000,New,16,2241,172,16
6,20.570922,25.881188,25.804663,26.624283,34.000000,34.000000,34.000000,0.587996,0.867113,1.230608,0.867122,1.237251,1.970290,1200.000000,New,16,2327,162,16
7,20.570922,26.956415,26.683423,27.356199,34.000000,34.000000,34.000000,0.579742,0.909728,1.277595,0.909739,1.283498,1.927225,1200.000000,New,16,2029,138,16
8,20.296192,25.881188,25.794559,26.096761,30.000000,30.000000,30.000000,0.583283,0.718959,1.134161,0.718978,1.139965,1.380025,1200.000000,New,16,1252,40,16
9,20.570922,26.604405,26.241354,26.929528,34.000000,34.000000,34.000000,0.590211,0.803103,1.155844,0.803112,1.162573,1.792683,1200.000000,New,16,1954,120,16
10,20.570922,25.838411,25.659081,26.403508,34.000000,34.000000,34.000000,0.592820,0.779999,0.974761,0.780006,0.980850,1.720961,1200.000000,New,16,2037,166,16
