instanceIndex,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes,actualTerms
0,44.555312,45.336605,44.555312,46.182614,47.688569,53.000000,49.000000,20.053968,21.042572,24.112134,21.042589,24.240896,1200.432063,1200.000000,New,16,487650,26692,20
1,44.617812,45.337938,44.776144,46.438504,47.889296,51.000000,49.000000,23.062253,25.179537,28.342422,25.179548,28.466466,1200.371987,1200.000000,New,16,505206,24474,19
2,44.555312,45.317490,44.555313,46.720153,48.008506,51.000000,49.000000,63.349301,64.335762,66.709655,64.335777,72.018727,1200.452781,1200.000000,New,16,458561,26481,21
3,44.519688,45.146823,44.519687,46.557970,48.086989,51.000000,49.000000,23.376439,24.422889,27.732422,24.422902,27.875679,1200.525312,1200.000000,New,16,479991,28398,19
4,44.587768,45.360135,44.587768,46.758971,48.152327,51.000000,49.000000,20.762615,22.492460,25.747549,22.492473,25.957279,1200.486694,1200.000000,New,16,490531,25878,19
5,44.623654,45.382813,44.623654,46.592215,48.004890,51.000000,49.000000,21.155143,23.005413,26.881070,23.005419,31.052895,1200.430384,1200.000000,New,16,471765,27920,18
