instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,64,49.214876,49.239669,49.239669,69.761487,71.000000,71.000000,5.847293,6.376398,7.023166,7.037950,349,6201,3600.000000,67,3,41,GUROBI,1,32,0,0
1,New,64,18.669421,19.403306,19.403306,38.372937,39.997635,39.999999,4.876495,5.325022,9.560961,9.561154,1640,32657,3600.000000,64,4,41,GUROBI,1,35,0,0
2,New,64,49.214876,49.239669,49.239669,70.158676,70.998531,71.000000,4.889970,5.442738,6.646464,6.646850,449,10261,3600.000000,67,3,41,GUROBI,1,32,0,0
3,New,64,22.123967,22.376033,22.266942,43.222704,45.999997,45.999997,4.224757,4.860153,15.865555,15.865791,1771,59006,3600.000000,64,4,39,GUROBI,1,39,0,0
