instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,4,52000.000000,52000.000000,52000.000000,52000.000000,52200.000000,52200.000000,0.000002,0.394569,2.219825,2.266702,533,2823,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,4,52000.000000,52000.000000,52000.000000,52000.000000,52200.000000,52200.000000,0.000002,0.361552,1.890019,1.936445,533,2823,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,4,52200.000000,52200.000000,52200.000000,52200.000000,52200.000000,52200.000000,0.000003,0.000003,0.057566,0.066223,1,507,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,4,52000.000000,52000.000000,52000.000000,52000.000000,52200.000000,52200.000000,0.000002,0.423824,2.251334,2.298329,533,2823,3600.000000,0,0,0,GUROBI,1,0,0,0
