instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,16,12462.941176,12462.941176,12462.941176,15082.297370,15425.711157,15426.000000,0.000004,1.557208,4.959432,9.875712,388,37974,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,16,9883.235294,9883.235294,9883.235294,15355.563214,16145.895997,16147.499998,0.000003,2.743544,153.319659,153.319990,4510,443534,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,16,10692.275106,10692.275106,10692.275106,15880.741415,16791.044671,16792.000000,0.000004,2.358950,8.375445,130.013950,3429,359249,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,16,9931.721283,9931.721283,9931.721283,15341.634143,15955.999999,15955.999999,0.000003,2.535488,15.391301,42.239220,793,90810,3600.000000,0,0,0,GUROBI,1,0,0,0
