nearest objective angle,intended angle
0.0,0
0.9740506363123764,0
2.8338997167320534,0
4.992949285026122,0
9.236907882396146,0
0.9672602898532259,1
2.9762072820222167,3
4.892033820971982,5
9.425476804108138,10
1.0181487390787207,1
3.035506961685739,3
5.329664160446382,5
9.575387435583846,10
1.0086391810200825,1
2.9135483501317294,3
4.948696071092297,5
9.365133892980813,10
0.9476961776576336,1
3.1406193119802794,3
4.909209553895926,5
8.813319435393913,10
1.0184787720791695,1
3.0912433424573447,3
4.895031982471333,5
10.030152798500135,10
0.9516754772587828,1
3.0137971408080877,3
5.029703441662124,5
10.31959596314876,10
1.0049608976877946,1
2.819867320039266,3
4.899051825854105,5
10.079803620824302,10
1.0060662822251254,1
2.8402925704894626,3
4.774165376442786,5
9.958548959183485,10
1.02833712947316,1
2.732726768098076,3
4.8980571324841184,5
10.335312301700236,10
0.9862388922122667,1
3.0907800419728133,3
4.669966194358433,5
9.870914475003248,10
0.986814618333396,1
3.0151783427034062,3
5.123541581003638,5
9.214879207067645,10
0.9842118521006965,1
