lpBound,rootDualBoundPreVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,benchmark,vpcGenerator,terms,vpcGenerationTime
8489.767168,8490.388086,8507.792285,8521.980144,8551.000000,8541.000000,0.093529,0.112895,280.759260,395.000000,402.000000,400.000000,0,PRLP,256,114.318789
8483.143526,8483.438010,8501.333337,8516.387835,8551.570259,8545.899339,0.092722,0.109861,260.253028,395.000000,403.000000,400.000000,0,PRLP,256,134.839493
8454.254540,8454.308874,8468.024204,8483.944292,8514.806044,8503.192610,0.110188,0.123472,262.624983,395.000000,406.000000,400.000000,0,PRLP,256,132.453712
8509.061017,8510.255047,8523.434333,8538.223523,8582.239121,8557.176693,0.093147,0.120591,247.968350,395.000000,404.000000,400.000000,0,PRLP,256,147.110490
8455.441869,8456.294712,8470.643472,8485.989523,8541.775941,8521.794053,0.085884,0.113737,279.875145,395.000000,406.000000,400.000000,0,PRLP,256,115.199266
8498.516229,8499.173615,8516.950693,8531.616228,8563.593449,8551.497275,0.106320,0.134274,282.732270,395.000000,402.000000,400.000000,0,PRLP,256,112.347592
8478.038733,8479.354697,8494.820358,8509.085255,8551.351892,8531.834181,0.086965,0.111622,279.374174,395.000000,405.000000,400.000000,0,PRLP,256,115.707339
8416.119113,8417.155975,8429.722630,8445.190146,8484.975579,8463.909221,0.090941,0.119371,223.583919,395.000000,403.000000,400.000000,0,PRLP,256,171.500783
8516.048898,8517.516117,8526.207844,8539.911586,8592.909122,8568.362204,0.079879,0.119915,293.700638,395.000000,412.000000,400.000000,0,PRLP,256,101.374625
8499.811051,8499.948123,8517.290649,8532.371741,8588.480583,8551.323665,0.120604,0.133626,253.667683,395.000000,416.000000,400.000000,0,PRLP,256,141.412118
8454.131074,8454.241829,8469.881815,8483.530039,8532.893164,8504.504494,0.151690,0.168294,228.140231,395.000000,404.000000,400.000000,0,PRLP,256,166.925237
8466.615628,8467.133821,8478.915461,8490.368681,8530.802697,8510.231966,0.141102,0.180954,310.492885,395.000000,407.000000,400.000000,0,PRLP,256,84.590584
8442.538430,8442.573729,8455.653622,8468.441868,8502.606443,8500.629015,0.079615,0.091410,284.684211,395.000000,406.000000,400.000000,0,PRLP,256,110.398832
8479.207505,8479.325071,8496.469386,8510.653121,8537.939960,8528.038909,0.085083,0.097390,274.105628,395.000000,403.000000,400.000000,0,PRLP,256,121.018055
8456.932724,8457.107237,8474.402455,8487.781950,8540.824218,8512.614501,0.144037,0.158524,245.334865,395.000000,402.000000,400.000000,0,PRLP,256,149.745749
8534.683876,8535.313436,8546.832659,8556.566034,8596.204117,8588.477919,0.095412,0.113093,236.515482,395.000000,400.000000,400.000000,0,PRLP,256,158.560735
8454.802845,8455.546135,8469.548739,8484.276144,8549.837797,8514.241540,0.100309,0.132492,279.887002,395.000000,397.000000,400.000000,0,PRLP,256,115.195996
8511.025098,8511.279999,8527.836543,8542.765812,8576.789621,8563.521759,0.101111,0.121657,259.347504,395.000000,398.000000,400.000000,0,PRLP,256,135.733922
8421.227507,8422.438851,8443.241385,8460.465835,8481.672438,8473.274957,0.080331,0.101938,279.802532,395.000000,397.000000,400.000000,0,PRLP,256,115.279768
8407.375492,8408.160186,8422.943844,8437.517675,8502.134441,8458.291064,0.092290,0.120324,192.959914,395.000000,396.000000,400.000000,0,PRLP,256,202.097795
8333.115920,8335.047912,8351.499265,8365.818707,8414.921652,8398.869606,0.087557,0.108377,220.980700,395.000000,397.000000,400.000000,0,PRLP,256,174.086783
8474.200511,8474.519606,8489.296388,8506.836102,8549.612811,8521.070041,0.160518,0.192890,289.053471,395.000000,397.000000,400.000000,0,PRLP,256,106.035609
8466.290885,8467.103915,8483.209881,8498.712485,8523.758515,8512.088513,0.086176,0.117106,272.994419,395.000000,401.000000,400.000000,0,PRLP,256,122.096930
8475.288540,8475.557908,8487.388888,8502.620753,8537.806556,8520.484519,0.117695,0.135055,223.423948,395.000000,398.000000,400.000000,0,PRLP,256,171.652536
8347.770680,8348.566057,8363.652618,8378.181814,8431.186794,8416.669260,0.091122,0.116078,238.174105,395.000000,399.000000,400.000000,0,PRLP,256,156.911644
8501.984144,8502.275662,8516.905667,8532.059428,8567.398197,8551.082447,0.094744,0.113852,272.207102,395.000000,398.000000,400.000000,0,PRLP,256,122.883317
8491.800867,8495.147593,8508.367496,8523.099337,8593.726328,8550.742996,0.081763,0.168710,278.511094,395.000000,397.000000,400.000000,0,PRLP,256,116.567087
8493.218986,8493.839676,8509.669243,8527.143799,8581.490992,8553.272668,0.085518,0.121318,281.862651,395.000000,397.000000,400.000000,0,PRLP,256,113.225925
8327.139045,8327.869828,8339.899067,8353.795076,8402.440538,8368.440277,0.133000,0.156437,291.334137,395.000000,403.000000,400.000000,0,PRLP,256,103.756714
8484.873581,8485.523377,8501.712833,8516.813576,8566.670960,8538.045102,0.237908,0.263892,274.502991,395.000000,399.000000,400.000000,0,PRLP,256,120.588710
8518.456842,8519.261750,8534.287557,8547.711292,8591.156355,8570.332150,0.089291,0.112233,258.659518,395.000000,396.000000,400.000000,0,PRLP,256,136.427570
8502.635587,8502.916059,8519.405066,8532.370192,8590.536284,8559.255907,0.099196,0.127240,259.692391,395.000000,399.000000,400.000000,0,PRLP,256,135.391880
8532.384299,8532.947568,8546.031423,8556.520827,8618.688499,8599.042037,0.112208,0.137761,300.112479,395.000000,399.000000,400.000000,0,PRLP,256,94.969846
8468.756022,8469.364917,8487.073650,8503.593312,8537.348373,8524.513219,0.084292,0.111343,274.044733,395.000000,397.000000,400.000000,0,PRLP,256,121.045728
8449.860079,8449.976714,8467.640955,8480.429801,8524.654117,8512.281831,0.090684,0.104451,275.096541,395.000000,398.000000,400.000000,0,PRLP,256,119.987845
8542.146703,8542.399236,8560.024821,8573.455345,8628.680777,8619.197364,0.191556,0.208144,267.043411,395.000000,399.000000,400.000000,0,PRLP,256,128.038320
8341.300223,8341.825905,8352.375381,8365.151874,8391.166574,8391.166574,0.162021,0.189656,326.568657,395.000000,396.000000,400.000000,0,PRLP,256,68.523718
8480.413078,8480.880775,8498.991366,8512.568983,8546.074144,8532.972694,0.079132,0.107567,278.065215,395.000000,396.000000,400.000000,0,PRLP,256,117.022364
8505.445219,8507.230974,8525.877485,8541.194927,8595.361574,8561.776070,0.140450,0.168381,282.697864,395.000000,396.000000,400.000000,0,PRLP,256,112.403067
8510.554677,8511.026760,8526.952800,8539.431556,8580.139264,8550.544142,0.093268,0.111948,291.825939,395.000000,400.000000,400.000000,0,PRLP,256,103.267838
8400.803450,8402.594358,8415.785643,8427.538087,8469.811692,8461.949646,0.163728,0.207904,328.978734,395.000000,397.000000,400.000000,0,PRLP,256,66.107924
8483.790013,8485.029619,8502.301439,8516.795795,8549.366298,8545.561659,0.175533,0.205787,270.095882,395.000000,398.000000,400.000000,0,PRLP,256,124.995095
8465.655716,8466.730504,8486.879867,8500.647201,8544.313349,8527.047188,0.175808,0.201423,188.987130,395.000000,399.000000,400.000000,0,PRLP,256,206.072890
8439.168744,8440.110341,8459.404055,8477.394701,8522.009125,8497.000789,0.099637,0.116493,265.222619,395.000000,396.000000,400.000000,0,PRLP,256,129.856711
8062.711389,8062.711389,8076.717609,8089.808823,8152.119503,8129.089225,0.197549,0.208081,222.655683,395.000000,398.000000,400.000000,0,PRLP,256,172.420722
8463.259827,8463.886878,8480.296529,8498.089247,8524.108461,8511.297732,0.091642,0.113495,284.027714,395.000000,396.000000,400.000000,0,PRLP,256,111.067739
8435.407603,8436.071006,8453.729758,8467.195870,8501.212675,8486.504844,0.166349,0.195743,247.529832,395.000000,396.000000,400.000000,0,PRLP,256,147.569335
8454.765758,8455.207089,8467.141795,8481.716946,8515.133449,8503.703286,0.077849,0.098169,279.334984,395.000000,396.000000,400.000000,0,PRLP,256,115.755121
8503.121243,8504.995162,8516.607418,8532.431966,8576.725507,8557.703433,0.213515,0.247305,264.046443,395.000000,396.000000,400.000000,0,PRLP,256,131.039798
8487.403349,8487.526446,8506.124181,8521.723859,8577.201136,8543.859932,0.089123,0.102193,293.342434,395.000000,398.000000,400.000000,0,PRLP,256,101.757562
