lpBound,rootDualBoundPreVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,benchmark,vpcGenerator,terms,vpcGenerationTime
8489.767168,8490.388086,8507.792285,8521.980144,8551.000000,8541.000000,0.095949,0.115973,277.368336,395.000000,405.000000,400.000000,0,PRLP,256,117.714536
8483.143526,8483.438010,8501.333337,8516.387835,8551.570259,8545.899339,0.094250,0.111452,259.147567,395.000000,402.000000,400.000000,0,PRLP,256,135.937557
8454.254540,8454.308874,8468.024204,8483.944292,8514.806044,8503.192610,0.113894,0.127663,261.235084,395.000000,402.000000,400.000000,0,PRLP,256,133.845732
8509.061017,8510.255047,8523.434333,8538.141828,8582.239121,8557.176693,0.095462,0.123418,245.833017,395.000000,398.000000,400.000000,0,PRLP,256,149.249172
8455.441869,8456.294712,8470.643472,8485.989523,8541.775941,8521.794053,0.088844,0.117336,278.330471,395.000000,403.000000,400.000000,0,PRLP,256,116.745477
8498.516229,8499.173615,8509.620812,8531.507072,8563.593449,8551.497275,0.104273,0.135720,391.900599,395.000000,403.000000,400.000000,0,Farkas,256,3.181249
8478.038733,8479.354697,8482.401684,8508.556075,8551.351892,8531.177237,0.086915,0.114530,391.647299,395.000000,401.000000,400.000000,0,Farkas,256,3.436835
8416.119113,8417.155975,8417.155975,8446.386004,8484.975579,8463.909221,0.093113,0.124654,391.317244,395.000000,399.000000,400.000000,0,Farkas,256,3.764824
8516.048898,8517.516117,8517.516117,8540.558463,8592.909122,8565.021624,0.082198,0.125803,390.592512,395.000000,397.000000,400.000000,0,Farkas,256,4.486993
8499.811051,8499.948123,8510.851628,8533.919741,8588.480583,8551.323665,0.122853,0.139524,391.781315,395.000000,397.000000,400.000000,0,Farkas,256,3.304601
8454.131074,8454.241829,8454.435260,8485.289925,8532.893164,8504.504494,0.149142,0.169191,391.510839,395.000000,400.000000,400.000000,0,Farkas,256,3.571588
8466.615628,8467.133821,8467.133821,8491.055764,8530.802697,8507.505092,0.145381,0.189848,391.126309,395.000000,397.000000,400.000000,0,Farkas,256,3.959113
8442.538430,8442.573729,8442.573729,8470.316123,8502.606443,8488.988204,0.082820,0.097259,390.221490,395.000000,397.000000,400.000000,0,Farkas,256,4.870897
8479.207505,8479.325071,8488.004432,8511.588626,8537.939960,8528.038909,0.087956,0.103615,391.906202,395.000000,396.000000,400.000000,0,Farkas,256,3.177447
8456.932724,8457.107237,8457.861762,8489.417215,8540.824218,8508.040272,0.139208,0.156288,391.599427,395.000000,397.000000,400.000000,0,Farkas,256,3.486123
8534.683876,8535.313436,8535.313436,8557.509282,8596.204117,8582.083240,0.092901,0.112593,391.246374,395.000000,397.000000,400.000000,0,Farkas,256,3.832423
8454.802845,8455.546135,8455.546135,8485.063588,8549.837797,8519.372475,0.101807,0.136976,390.664490,395.000000,397.000000,400.000000,0,Farkas,256,4.419004
8511.025098,8511.279999,8520.530087,8545.371478,8576.789621,8563.275232,0.102551,0.126367,391.847763,395.000000,397.000000,400.000000,0,Farkas,256,3.237558
8421.227507,8422.438851,8426.005699,8460.841702,8481.672438,8473.274957,0.081876,0.107698,391.586037,395.000000,396.000000,400.000000,0,Farkas,256,3.504021
8407.375492,8408.160186,8408.160186,8439.433333,8502.134441,8458.291064,0.092547,0.122649,391.358750,395.000000,397.000000,400.000000,0,Farkas,256,3.720758
8333.115920,8335.047912,8335.047912,8365.788957,8414.921652,8405.311188,0.086762,0.109534,390.609386,395.000000,397.000000,400.000000,0,Farkas,256,4.471848
8474.200511,8474.519606,8482.476108,8506.477581,8549.612811,8521.070041,0.163295,0.200832,391.838340,395.000000,398.000000,400.000000,0,Farkas,256,3.246228
8466.290885,8467.103915,8468.194781,8497.520389,8523.758515,8512.088513,0.084969,0.118138,391.624143,395.000000,398.000000,400.000000,0,Farkas,256,3.469323
8475.288540,8475.557908,8475.557908,8503.030165,8537.806556,8520.484519,0.116953,0.136860,391.415467,395.000000,397.000000,400.000000,0,Farkas,256,3.673542
8347.770680,8348.566057,8348.566057,8379.823398,8431.186794,8408.797149,0.091351,0.119189,390.287627,395.000000,397.000000,400.000000,0,Farkas,256,4.799584
8501.984144,8502.275662,8510.479401,8533.406259,8567.398197,8551.082447,0.096956,0.119747,391.864730,395.000000,397.000000,400.000000,0,Farkas,256,3.224311
8491.800867,8495.147593,8495.147593,8524.485573,8593.726328,8545.671371,0.085162,0.173163,391.491485,395.000000,397.000000,400.000000,0,Farkas,256,3.597790
8493.218986,8493.839676,8493.843197,8527.491744,8581.490992,8549.664986,0.086739,0.125097,391.337586,395.000000,397.000000,400.000000,0,Farkas,256,3.755365
8327.139045,8327.869828,8327.869828,8354.969879,8402.440538,8368.440277,0.132928,0.159065,390.673592,395.000000,397.000000,400.000000,0,Farkas,256,4.423269
8484.873581,8485.523377,8494.640443,8518.078208,8566.670960,8538.045102,0.238599,0.269627,391.792711,395.000000,397.000000,400.000000,0,Farkas,256,3.298837
8518.456842,8519.261750,8520.007905,8549.252487,8591.156355,8566.310758,0.088844,0.114094,391.587892,395.000000,398.000000,400.000000,0,Farkas,256,3.504711
8502.635587,8502.916059,8502.916059,8532.899949,8590.536284,8570.136650,0.099324,0.128557,391.273141,395.000000,397.000000,400.000000,0,Farkas,256,3.815026
8532.384299,8532.947568,8532.947568,8555.789706,8618.688499,8586.436548,0.082424,0.103151,390.295819,395.000000,397.000000,400.000000,0,Farkas,256,4.795281
8468.756022,8469.364917,8480.274762,8503.751877,8537.348373,8523.047818,0.084592,0.114002,391.847751,395.000000,397.000000,400.000000,0,Farkas,256,3.238644
8449.860079,8449.976714,8450.553930,8481.222114,8524.654117,8513.795276,0.088349,0.104436,391.627396,395.000000,397.000000,400.000000,0,Farkas,256,3.460818
8542.146703,8542.399236,8542.399236,8576.181422,8628.680777,8608.439422,0.188570,0.207358,391.382575,395.000000,397.000000,400.000000,0,Farkas,256,3.705116
8341.300223,8341.825905,8341.825905,8364.975633,8391.166574,8390.466683,0.160495,0.189895,390.337926,395.000000,398.000000,400.000000,0,Farkas,256,4.753960
8480.413078,8480.880775,8490.667903,8513.815721,8546.074144,8532.972694,0.073636,0.102408,391.819636,395.000000,398.000000,400.000000,0,Farkas,256,3.272238
8505.445219,8507.230974,8509.198227,8541.886786,8595.361574,8570.391270,0.137696,0.167533,391.656017,395.000000,397.000000,400.000000,0,Farkas,256,3.432934
8510.554677,8511.026760,8511.026760,8541.439030,8580.139264,8550.544142,0.092073,0.113131,391.476297,395.000000,397.000000,400.000000,0,Farkas,256,3.621596
