lpBound,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,usePreprocessing
7830.277000,10470.421275,10470.421275,22960.000000,17039.000000,2.889270,9.095731,600.062999,600.000000,601.000000,600.000000,1
8613.708184,11592.451451,11592.451451,19922.000000,19503.000000,3.103909,9.208586,600.030883,600.000000,601.000000,600.000000,1
7997.125029,10430.146743,10430.146743,21236.000000,20389.000000,3.029805,9.574398,600.042346,600.000000,600.000000,600.000000,1
7993.869636,10674.995529,10674.995529,21415.000000,21415.000000,2.595786,9.948449,600.018932,600.000000,601.000000,600.000000,1
8158.498294,11493.704638,11493.704638,22940.000000,18050.000000,2.817163,8.812289,600.028171,600.000000,601.000000,600.000000,1
8428.339235,10665.425056,10861.941365,17980.000000,15039.000000,1.803965,4.759056,600.046444,600.000000,600.000000,600.000000,1
7629.433118,10534.083470,10534.083470,20510.000000,16596.000000,4.221110,8.238935,600.116084,600.000000,600.000000,600.000000,1
8191.923029,10308.737334,10308.737334,15582.000000,15582.000000,4.336580,10.859625,600.029141,600.000000,601.000000,600.000000,1
8503.342059,10609.219912,10610.000000,21213.000000,20483.000000,2.629793,6.671688,600.108063,600.000000,601.000000,600.000000,1
8288.504071,11669.276960,11669.276960,23352.000000,23352.000000,2.939050,9.199898,600.024263,600.000000,600.000000,600.000000,1
8620.551594,11751.924124,11751.924124,21874.000000,21874.000000,2.826505,8.825586,600.025261,600.000000,601.000000,600.000000,1
8553.241223,11468.458100,11468.458100,23735.000000,23735.000000,3.634373,9.957116,600.065717,600.000000,600.000000,600.000000,1
7906.446618,10514.061372,10514.061372,20822.000000,15579.000000,3.248467,9.811638,600.048119,600.000000,601.000000,600.000000,1
7907.914275,10350.782942,10350.782942,20939.000000,15190.000000,2.924376,8.473110,600.070865,600.000000,601.000000,600.000000,1
7864.701529,10744.661100,10849.313069,24365.000000,21508.000000,2.075561,6.148570,600.055890,600.000000,600.000000,600.000000,1
7549.498324,10213.500952,10271.738700,23084.000000,23084.000000,2.760558,10.094670,600.338504,600.000000,601.000000,600.000000,1
7685.605616,10486.518329,10486.518329,24598.000000,23396.000000,2.962740,7.329814,600.172170,600.000000,601.000000,600.000000,1
8771.485126,12094.832834,12094.832834,21623.000000,18095.000000,2.527395,8.522860,600.052760,600.000000,601.000000,600.000000,1
7543.889588,10296.058064,10296.058064,22507.000000,21278.000000,2.892675,9.897881,600.146041,600.000000,600.000000,600.000000,1
8718.863966,11789.012431,11789.012431,23680.000000,18583.000000,3.781770,10.803322,600.033266,600.000000,601.000000,600.000000,1
8194.192206,10670.586179,10671.000000,19512.000000,18005.000000,2.672994,7.720783,600.162629,600.000000,601.000000,600.000000,1
7697.850853,10263.674211,10263.674211,23194.000000,23109.000000,1.678840,7.264269,600.175604,600.000000,600.000000,600.000000,1
8427.686619,10625.487072,10625.487072,18189.000000,18189.000000,3.168410,9.393107,600.064779,600.000000,601.000000,600.000000,1
9150.754706,12062.658899,12162.940429,22145.000000,17326.000000,1.614629,7.800793,600.056700,600.000000,600.000000,600.000000,1
11492.083412,13951.753347,13952.000000,27021.000000,26469.000000,1.681423,5.143517,600.090088,600.000000,600.000000,600.000000,1
8060.587088,10644.262332,10644.262332,21165.000000,21165.000000,2.796282,10.245799,600.036359,600.000000,601.000000,600.000000,1
10897.472353,13611.620519,13612.000000,24788.000000,24788.000000,2.802804,6.490461,600.056171,600.000000,600.000000,600.000000,1
8068.851176,10489.785909,10489.785909,20266.000000,15476.000000,2.183712,6.955560,600.013451,600.000000,601.000000,600.000000,1
8466.525969,11370.385008,11370.385008,17946.000000,17171.000000,2.820955,8.470512,600.032261,600.000000,600.000000,600.000000,1
7757.378235,10497.004307,10497.004307,21083.000000,21083.000000,2.543484,10.739816,600.058129,600.000000,601.000000,600.000000,1
9094.178586,11710.824355,11710.824355,22189.000000,16962.000000,3.753904,8.981782,600.074468,600.000000,601.000000,600.000000,1
7604.807147,10503.981256,10503.981256,22248.000000,18698.000000,3.364259,11.716477,600.115375,600.000000,600.000000,600.000000,1
7766.459382,10487.386102,10487.386102,22273.000000,22109.000000,2.973308,9.769807,600.122640,600.000000,601.000000,600.000000,1
