instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,429.000000,429.000000,429.000000,443.795455,446.000000,446.000000,1.121949,1.232103,1.121949,1.234752,1,853,3600.000000,4,8,91,GUROBI,1,0,0,0
1,New,4,428.937500,428.937500,428.937500,443.732955,445.937500,445.937500,0.120733,0.221945,0.120733,0.229181,1,879,3600.000000,4,7,87,GUROBI,1,0,0,0
2,New,4,429.000000,429.000000,429.000000,443.795455,446.000000,446.000000,0.141773,0.250812,0.141773,0.255566,1,1046,3600.000000,4,11,85,GUROBI,1,0,0,0
3,New,4,428.875000,428.875000,428.875000,445.875000,445.937500,445.937500,0.119843,0.343849,11.303719,15.246351,3933,180699,3600.000000,4,7,95,GUROBI,1,0,0,0
4,New,4,428.937500,428.937500,428.937500,444.409091,445.937500,445.937500,0.113910,0.222431,0.113910,0.228006,1,850,3600.000000,4,7,92,GUROBI,1,0,0,0
