instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,16,216670237.636667,217097258.083745,217026968.835998,218163258.087622,219657763.694825,219676790.400000,406.918515,414.563583,454.032068,454.032702,1872,104654,3600.000000,28,111,111,GUROBI,1,19,0,0
2,Old,16,214264703.581337,214564273.051959,214427338.984768,218325500.379023,220817505.183456,220837466.400000,2160.089271,2169.185519,2571.311567,2571.312217,8508,692282,3600.000000,28,124,0,GUROBI,1,19,0,0
3,Old,16,214189562.491795,215131528.740393,214871317.519027,219134587.068886,222540691.299567,222548299.729372,3613.668720,3625.940955,3706.779447,3721.709834,1536,151995,3600.000000,28,105,0,GUROBI,1,19,0,0
4,Old,16,210261953.246904,210383923.591019,210353430.069942,215706641.349131,218992063.200000,218992063.200000,2374.194479,2381.647648,2412.851879,2449.896357,2778,228376,3600.000000,28,117,0,GUROBI,1,19,0,0
