instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,None,4,-17360.166667,-17360.166667,-17360.166667,-17062.285714,-17041.000000,-17041.000000,0.000002,0.422584,0.428261,0.430059,1,1757,3600.000000,0,0,0,GUROBI,1,0,0,0
1,None,4,-17326.375000,-17326.375000,-17326.375000,-17025.186047,-17021.000000,-17021.000000,0.000002,0.626487,0.628151,0.630396,2,1900,3600.000000,0,0,0,GUROBI,1,0,0,0
2,None,4,-17339.000000,-17339.000000,-17339.000000,-17027.831818,-17024.000000,-17024.000000,0.000002,0.542214,0.546685,0.546914,1,1969,3600.000000,0,0,0,GUROBI,1,0,0,0
3,None,4,-17383.000000,-17383.000000,-17383.000000,-17080.714286,-17070.000000,-17070.000000,0.000003,0.467993,0.471485,0.473387,1,1952,3600.000000,0,0,0,GUROBI,1,0,0,0
4,None,4,-17345.333333,-17345.333333,-17345.333333,-17029.940000,-17026.000000,-17026.000000,0.000004,0.620370,0.623382,0.625322,1,2055,3600.000000,0,0,0,GUROBI,1,0,0,0
