instanceIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
0,New,4,4310.000000,4310.000000,4310.000000,4502.000000,7118.380688,7118.500000,1.112981,1.376782,76.356480,105.099679,33438,951684,3600.000000,4,10,66,GUROBI,1,0,0,0
1,Farkas,4,4287.225806,4287.225806,4287.225806,4489.500458,7112.330218,7113.000000,0.025704,0.330770,127.513997,127.514161,45612,1087327,3600.000000,4,10,0,GUROBI,1,0,0,0
2,Farkas,4,4317.201613,4317.201613,4317.201613,4504.157172,7129.583333,7130.000000,0.017623,0.361248,105.806331,110.878405,39092,1099831,3600.000000,4,10,0,GUROBI,1,0,0,0
3,Farkas,4,4297.437500,4297.437500,4297.437500,4487.650959,7115.353654,7116.000000,0.028882,0.377773,115.782260,120.288304,41517,1153715,3600.000000,4,10,0,GUROBI,1,0,0,0
4,Farkas,4,4309.564516,4309.564516,4309.564516,4502.991803,7118.015281,7118.500000,0.017004,0.341843,65.925566,94.216208,35098,924020,3600.000000,4,10,0,GUROBI,1,0,0,0
