lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBoundPreVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
-1560.538865,-1560.538865,-1560.538865,-1517.956576,-1517.956576,-1515.669967,-1498.000000,-1498.000000,0.009849,2.240173,2.743230,2.240188,2.764484,301.657802,300.000000,None,128,41182,20190
4.891112,4.891112,4.891112,46.117908,46.117908,47.484865,69.000000,69.000000,0.011642,2.520571,4.006689,2.520587,4.055618,302.108096,300.000000,None,128,51309,17883
4.874713,4.874713,4.874713,44.309755,44.309755,46.168971,69.000000,69.000000,0.009681,2.216522,3.103222,2.216535,3.132427,302.504532,300.000000,None,128,54819,19676
4.891112,4.891112,4.891112,45.116643,45.116643,47.181446,70.000000,69.000000,0.009299,2.381325,3.319973,2.381338,3.350855,301.337357,300.000000,None,128,43220,16930
4.743850,4.743850,4.743850,44.456922,44.456922,46.621443,68.000000,68.000000,0.009723,2.182629,2.783442,2.182644,2.807087,301.877104,300.000000,None,128,47032,19502
4.890784,4.890784,4.890784,46.701688,46.701688,47.905684,69.000000,69.000000,0.010562,2.433081,3.892326,2.433095,3.929875,302.017335,300.000000,None,128,61205,18672
4.891112,4.891112,4.891112,45.814400,45.814400,47.153755,69.000000,69.000000,0.009592,2.391938,3.025011,2.391952,3.047956,301.913693,300.000000,None,128,54290,20347
4.891112,4.891112,4.891112,45.338518,45.338518,46.982069,69.000000,69.000000,0.007377,2.431619,4.114956,2.431632,4.146999,301.771247,300.000000,None,128,62871,17449
-1127.737291,-1127.737291,-1127.737291,-1082.456968,-1082.456968,-1079.765675,-1062.000000,-1062.000000,0.008255,1.964168,2.547840,1.964183,2.568884,301.714958,300.000000,None,128,36046,19227
4.743522,4.743522,4.743522,44.818237,44.818237,47.371050,69.000000,69.000000,0.009896,2.306064,2.895097,2.306075,2.916181,302.279821,300.000000,None,128,50200,19778
4.891112,4.891112,4.891112,45.480809,45.480809,46.849869,69.000000,69.000000,0.009555,2.513850,3.333439,2.513862,3.363330,302.610798,300.000000,None,128,58526,18860
4.891112,4.891112,4.891112,44.879298,44.879298,47.240065,69.000000,69.000000,0.010118,2.743992,3.356747,2.744008,3.382892,301.656350,300.000000,None,128,50580,20000
4.891112,4.891112,4.891112,45.776884,45.776884,47.321237,69.000000,69.000000,0.007406,2.337932,3.262075,2.337948,3.289761,302.654957,300.000000,None,128,49365,20515
4.891112,4.891112,4.891112,45.260748,45.260748,46.906255,69.000000,69.000000,0.009810,2.344303,4.649579,2.344316,4.671712,302.676926,300.000000,None,128,51966,19657
