lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBoundPreVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
4.891112,4.891112,4.891112,45.042252,45.042252,47.043850,69.000000,69.000000,0.009747,2.335346,2.959531,2.335355,2.984866,305.106491,300.000000,None,64,44377,20011
4.295714,4.295714,4.295714,44.346086,44.346086,45.899562,70.000000,70.000000,0.020313,2.941947,4.668677,2.941961,4.721224,301.722463,300.000000,None,64,103029,17185
3.008773,3.008773,3.008773,41.308533,41.308533,44.093758,59.000000,59.000000,0.020179,2.022003,2.547123,2.022015,2.572188,301.228443,300.000000,None,64,139037,15985
3.283963,3.283966,3.283966,41.487214,41.487214,43.346312,68.000000,68.000000,0.025958,4.528370,5.242667,4.528370,5.275826,301.728529,300.000000,None,64,85243,17062
3.608193,3.608193,3.608193,43.914272,43.914272,46.126223,72.000000,72.000000,0.024244,2.747313,3.678003,2.747323,3.712487,302.508732,300.000000,None,64,92495,18522
2.885167,2.885168,2.885168,43.580867,43.580867,45.065998,67.000000,67.000000,0.024831,3.394635,4.367455,3.394649,4.399239,302.487791,300.000000,None,64,88341,16107
2.409047,2.409047,2.409047,37.666049,37.666049,40.202971,54.000000,54.000000,0.022839,2.238051,2.705312,2.238059,2.746720,302.206166,300.000000,None,64,131553,18963
2.109038,2.109038,2.109038,42.241462,42.241462,44.252406,70.000000,70.000000,0.019280,2.276523,2.991833,2.276535,3.038148,301.809369,300.000000,None,64,87019,17847
2.875449,2.875449,2.875449,45.259903,45.259903,47.099717,69.000000,69.000000,0.025155,2.942031,3.881212,2.942044,3.913533,302.001222,300.000000,None,64,90881,18556
2.231056,2.231056,2.231056,37.155879,37.155879,41.856518,66.000000,66.000000,0.025845,2.901128,3.470137,2.901152,3.541792,301.641646,300.000000,None,64,105874,16662
2.414704,2.414704,2.414704,39.304661,39.304661,41.984330,60.000000,60.000000,0.025389,3.652957,4.155803,3.652966,4.184374,302.036600,300.000000,None,64,96620,16746
3.271880,3.271934,3.271934,41.217176,41.217176,44.166647,70.000000,70.000000,0.024930,3.804991,4.748152,3.805003,4.790604,301.675112,300.000000,None,64,64147,15780
2.471708,2.471708,2.471708,39.780715,39.780715,43.011765,68.000000,68.000000,0.019533,2.814523,3.261391,2.814534,3.295275,302.294897,300.000000,None,64,112502,18303
1.686262,1.686262,1.686262,39.407353,39.407353,41.545299,68.000000,68.000000,0.018774,3.014515,3.764844,3.014527,3.791710,301.967144,300.000000,None,64,88513,18547
3.653053,3.653053,3.653053,45.249194,45.249194,46.284567,70.000000,70.000000,0.015777,2.428156,3.633192,2.428163,3.678687,301.765133,300.000000,None,64,71807,15867
3.526614,3.526617,3.526617,40.737963,40.737963,44.094932,67.000000,66.000000,0.021900,2.893175,3.701895,2.893189,196.911056,302.048294,300.000000,None,64,113629,17871
4.198597,4.198619,4.198619,46.507894,46.507894,48.940393,66.000000,66.000000,0.024406,2.539062,4.189634,2.539078,4.233817,301.920563,300.000000,None,64,92276,16662
2.611072,2.611075,2.611075,41.040540,41.040540,43.111194,65.000000,65.000000,0.026873,3.981947,4.637235,3.981961,4.676266,301.273869,300.000000,None,64,106368,16268
3.205094,3.205094,3.205094,41.596111,41.596111,45.288414,63.000000,63.000000,0.020006,1.842954,2.236871,1.842969,2.262439,301.406983,300.000000,None,64,76637,17875
2.523179,2.523182,2.523179,40.546476,40.546476,42.176146,70.000000,70.000000,0.016524,2.742690,3.701607,2.742702,3.748670,302.150466,300.000000,None,64,82238,17169
3.380278,3.380278,3.380278,44.660373,44.660373,46.336832,69.000000,69.000000,0.024805,2.641861,3.330733,2.641867,3.380918,301.697344,300.000000,None,64,89187,16194
