lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBoundPreVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
4.891112,4.891112,4.891112,45.042252,45.042252,47.041816,69.000000,69.000000,0.008185,2.340130,2.967459,2.340143,2.992803,305.735801,300.000000,None,4,44062,19936
4.389510,4.389510,4.389510,44.238634,44.238634,47.440463,70.000000,70.000000,0.013619,2.982426,3.535507,2.982438,3.557669,301.391592,300.000000,None,4,69103,18793
3.471579,3.471579,3.471579,41.882337,41.882337,43.437884,71.000000,71.000000,0.010570,2.738332,3.698083,2.738343,3.731036,302.434095,300.000000,None,4,61716,19350
3.989857,3.989857,3.989857,45.087041,45.087041,47.498889,68.000000,68.000000,0.016225,2.924759,3.735735,2.924765,3.772670,302.159987,300.000000,None,4,59535,18353
4.340118,4.340118,4.340118,45.851835,45.851835,48.125950,70.000000,70.000000,0.012669,2.265749,3.115439,2.265756,3.138901,302.059762,300.000000,None,4,65256,18648
4.304308,4.304308,4.304308,42.563282,42.563282,44.449634,71.000000,71.000000,0.012364,2.544269,3.194212,2.544284,3.224789,302.510472,300.000000,None,4,62242,19775
4.754252,4.754252,4.754252,45.811733,45.811733,47.397537,72.000000,72.000000,0.018849,2.943176,3.937438,2.943191,3.976601,302.708118,300.000000,None,4,85870,16973
4.893027,4.893027,4.893027,45.441463,45.441463,47.427398,70.000000,70.000000,0.013623,3.079949,4.359438,3.079962,4.428309,301.876725,300.000000,None,4,65757,16982
4.546237,4.546237,4.546237,44.426556,44.426556,46.352771,71.000000,71.000000,0.010052,2.499266,3.221321,2.499280,3.266379,301.609694,300.000000,None,4,56921,16937
3.520022,3.520022,3.520022,43.682545,43.682545,45.246993,71.000000,71.000000,0.013629,3.187141,4.200887,3.187157,4.243246,302.414338,300.000000,None,4,65693,18940
4.617689,4.617744,4.617689,44.401123,44.401123,46.350622,71.000000,71.000000,0.011100,2.809507,4.385261,2.809522,4.432974,302.908560,300.000000,None,4,62515,18019
4.891249,4.891249,4.891249,44.611623,44.611623,46.625718,69.000000,69.000000,0.009499,2.107170,2.885347,2.107185,2.923222,301.329585,300.000000,None,4,46730,16806
4.886520,4.886520,4.886520,44.935428,44.935428,47.041128,71.000000,71.000000,0.009173,2.819264,4.121211,2.819278,4.160952,302.031745,300.000000,None,4,53179,18426
5.077250,5.077250,5.077250,45.858018,45.858018,47.654564,72.000000,72.000000,0.016638,3.074957,4.097729,3.074969,4.153001,301.895732,300.000000,None,4,68575,17759
4.694490,4.694490,4.694490,44.029087,44.029087,45.309107,73.000000,73.000000,0.011482,2.359692,3.752296,2.359702,3.791990,302.605012,300.000000,None,4,70637,16944
3.875861,3.875861,3.875861,43.670934,43.670934,45.628457,71.000000,71.000000,0.019537,2.218503,2.869296,2.218514,2.920525,301.371403,300.000000,None,4,94369,16935
4.693523,4.693523,4.693523,46.876704,46.876704,48.023798,70.000000,70.000000,0.012978,1.990618,3.621134,1.990632,3.668360,302.002914,300.000000,None,4,71818,16988
4.891112,4.891112,4.891112,44.679326,44.679326,46.902053,70.000000,70.000000,0.009561,2.783706,3.442949,2.783722,3.473812,302.482849,300.000000,None,4,67365,18977
4.763542,4.763542,4.763542,43.736458,43.736458,45.932618,70.000000,70.000000,0.017755,2.741814,3.698129,2.741827,3.749920,301.856616,300.000000,None,4,81199,18031
4.825208,4.825208,4.825208,42.242473,42.242473,44.780179,67.000000,67.000000,0.019944,3.382441,4.014306,3.382454,4.043381,301.776514,300.000000,None,4,80893,18541
5.401012,5.401012,5.401012,46.300635,46.300635,48.373888,70.000000,70.000000,0.012324,3.041778,3.649391,3.041791,3.674542,302.231309,300.000000,None,4,57648,18547
3.584849,3.584866,3.584849,44.169264,44.169264,46.474118,73.000000,73.000000,0.018852,4.731290,5.329737,4.731303,5.365238,301.932015,300.000000,None,4,91089,17525
4.902609,4.902609,4.902609,44.995530,44.995530,46.740885,71.000000,71.000000,0.014255,3.578032,4.695880,3.578047,4.736525,302.125429,300.000000,None,4,78214,17056
4.339128,4.339128,4.339128,43.510586,43.510586,45.101552,70.000000,70.000000,0.010868,3.123834,4.099065,3.123850,4.163288,302.262901,300.000000,None,4,62795,18870
4.891119,4.891119,4.891119,44.943599,44.943599,47.079266,70.000000,70.000000,0.011798,2.353975,3.122666,2.353988,3.160634,302.074436,300.000000,None,4,53106,18791
4.146605,4.146605,4.146605,45.049703,45.049703,47.688325,70.000000,70.000000,0.010934,3.395491,4.318034,3.395504,4.349684,301.679483,300.000000,None,4,71627,17804
4.448682,4.448682,4.448682,41.541384,41.541384,44.390387,69.000000,69.000000,0.012600,2.955675,3.690967,2.955685,3.725951,302.219965,300.000000,None,4,66294,19331
5.939973,5.939973,5.939973,45.527941,45.527941,47.736345,72.000000,72.000000,0.011271,2.933866,3.790886,2.933876,3.836298,302.021756,300.000000,None,4,62187,16364
4.992211,4.992211,4.992211,43.509693,43.509693,45.611793,71.000000,71.000000,0.013066,3.544578,4.566685,3.544594,4.601207,302.250549,300.000000,None,4,76570,17616
4.739112,4.739112,4.739112,43.924242,43.924242,47.694476,72.000000,72.000000,0.012855,2.030686,3.118941,2.030695,3.149172,301.778150,300.000000,None,4,73338,16812
4.894403,4.894403,4.894403,44.471245,44.471245,46.554289,72.000000,72.000000,0.008467,3.159297,4.780611,3.159315,4.815031,303.206219,300.000000,None,4,62022,19456
4.646114,4.646137,4.646114,47.189474,47.189474,49.150623,70.000000,70.000000,0.011364,2.644996,4.166656,2.645006,4.215473,301.369629,300.000000,None,4,54354,17246
5.514326,5.514326,5.514326,44.886408,44.886408,46.275643,72.000000,72.000000,0.018829,3.143187,4.330693,3.143202,4.397217,301.796170,300.000000,None,4,85703,18242
4.307745,4.307745,4.307745,44.305545,44.305545,46.207504,70.000000,70.000000,0.010821,2.814561,3.913480,2.814574,3.955764,301.417869,300.000000,None,4,62678,16748
5.051328,5.051328,5.051328,45.214611,45.214611,47.161511,69.000000,69.000000,0.012815,2.268498,3.232139,2.268513,3.270652,302.528508,300.000000,None,4,62726,19328
3.974932,3.974932,3.974932,41.989068,41.989068,44.050185,71.000000,71.000000,0.019195,2.599935,3.441882,2.599951,3.504456,301.384697,300.000000,None,4,76236,17517
3.167380,3.167380,3.167380,42.402195,42.402195,45.017231,72.000000,72.000000,0.016046,3.539911,4.447416,3.539926,4.494280,301.594957,300.000000,None,4,70380,18361
4.892752,4.892752,4.892752,44.854833,44.854833,46.930408,71.000000,71.000000,0.009618,2.372424,3.058370,2.372437,3.086651,302.122281,300.000000,None,4,52135,19143
5.038911,5.038911,5.038911,43.690023,43.690023,45.911935,71.000000,71.000000,0.013754,2.767220,3.678325,2.767233,3.713774,301.844397,300.000000,None,4,63588,16934
4.133275,4.133275,4.133275,43.557532,43.557532,45.531495,74.000000,73.000000,0.019125,2.496886,3.053784,2.496903,124.922097,302.087940,300.000000,None,4,103805,18966
3.159858,3.159858,3.159858,39.943221,39.943221,41.526045,71.000000,71.000000,0.017772,3.680246,4.671617,3.680256,4.721197,302.521664,300.000000,None,4,72466,19700
3.441947,3.441947,3.441947,43.585023,43.585023,45.138811,69.000000,69.000000,0.015749,3.007228,4.214285,3.007241,4.269121,302.588992,300.000000,None,4,70646,19146
4.899598,4.899598,4.899598,45.014603,45.014603,47.499718,71.000000,71.000000,0.013788,1.679572,2.549481,1.679587,2.584291,301.399031,300.000000,None,4,43268,17971
5.405743,5.405743,5.405743,45.687691,45.687691,47.400057,70.000000,70.000000,0.017049,2.801931,3.898014,2.801939,3.939937,301.565170,300.000000,None,4,85757,16263
3.871816,3.871816,3.871816,42.986729,42.986729,44.985531,69.000000,69.000000,0.013957,2.738854,3.399392,2.738868,3.428189,302.065020,300.000000,None,4,87508,17726
4.891768,4.891768,4.891768,44.787084,44.787084,46.863160,70.000000,70.000000,0.011922,1.975097,2.552616,1.975106,2.579401,302.522056,300.000000,None,4,51879,19151
5.515576,5.515576,5.515576,46.067354,46.067354,47.551077,72.000000,72.000000,0.016445,2.950689,4.149203,2.950702,4.207523,302.579566,300.000000,None,4,77809,16575
