lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBoundPreVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
4.891112,5.405051,5.405051,45.042252,45.042252,47.012296,69.000000,69.000000,0.876087,3.203309,3.837674,3.203315,3.863043,306.260644,300.000000,New,4,44402,20232
4.891112,5.405051,5.405051,48.176246,48.189843,50.041677,69.000000,69.000000,0.111727,2.228441,3.000159,2.228445,3.028050,302.309140,300.000000,Farkas,4,65368,17837
4.891112,5.405051,5.405051,48.011449,48.011449,50.305768,69.000000,69.000000,0.109905,2.612227,3.154874,2.612243,3.178773,303.676005,300.000000,Farkas,4,79788,20077
-1125.879305,-1125.393244,-1125.393244,-1077.652359,-1077.652359,-1076.104624,-1062.000000,-1062.000000,0.099963,2.661403,3.307754,2.661409,3.331812,303.275684,300.000000,Farkas,4,56377,18793
4.891112,5.405051,5.405051,47.209551,47.218937,49.195515,69.000000,69.000000,0.109526,2.514947,3.123967,2.514961,3.147450,302.959471,300.000000,Farkas,4,71790,19274
4.890784,5.404723,5.404723,47.810281,47.810281,49.475974,68.000000,68.000000,0.109270,3.424382,4.353327,3.424397,4.376672,306.011335,300.000000,Farkas,4,61273,18323
-1560.053132,-1560.053132,-1560.053132,-1516.661627,-1516.661627,-1513.630914,-1497.000000,-1497.000000,0.096747,2.514054,2.986193,2.514068,3.016936,303.498639,300.000000,Farkas,4,38551,19198
-1126.250902,-1125.764841,-1125.764841,-1078.733358,-1078.733358,-1076.748158,-1061.000000,-1061.000000,0.093469,2.809528,3.274247,2.809533,3.300174,303.874965,300.000000,Farkas,4,44716,18428
-1561.081010,-1561.081010,-1561.081010,-1517.045527,-1517.045527,-1514.379494,-1496.000000,-1496.000000,0.099789,2.329326,2.926264,2.329336,2.944154,303.075210,300.000000,Farkas,4,58123,20244
-1561.081010,-1561.081010,-1561.081010,-1516.704625,-1516.704625,-1515.125024,-1495.000000,-1496.000000,0.096856,2.647185,3.265162,2.647198,3.292852,303.376731,300.000000,Farkas,4,72510,19599
-1561.053132,-1561.053132,-1561.053132,-1516.802641,-1516.802641,-1514.695189,-1499.000000,-1499.000000,0.095630,2.637705,3.056607,2.637713,3.089476,302.338008,300.000000,Farkas,4,52861,17637
-1832.486061,-1832.486061,-1832.486061,-1789.600498,-1789.600498,-1786.881115,-1768.000000,-1768.000000,0.097825,3.157631,3.620880,3.157642,3.650009,302.746534,300.000000,Farkas,4,49883,19241
-1666.053132,-1666.053132,-1666.053132,-1622.719808,-1622.719808,-1619.932131,-1603.000000,-1604.000000,0.099809,2.384903,3.081813,2.384916,3.101667,303.047090,300.000000,Farkas,4,63341,20000
4.891112,5.405051,5.405051,47.209551,47.218937,49.177677,69.000000,69.000000,0.106833,2.222919,2.833039,2.222931,2.856546,302.840349,300.000000,Farkas,4,69871,19290
4.891112,5.405051,5.405051,48.064713,48.064713,49.980905,69.000000,69.000000,0.109748,2.643004,3.481692,2.643019,3.507054,303.600558,300.000000,Farkas,4,55106,19193
4.519515,5.033454,5.033454,47.728588,47.728588,49.631185,69.000000,69.000000,0.103292,3.437086,4.040529,3.437101,4.060966,302.990742,300.000000,Farkas,4,62980,18699
4.891112,5.405051,5.405051,46.145143,46.225008,48.438833,68.000000,68.000000,0.109383,2.500082,3.148922,2.500092,3.179170,303.394644,300.000000,Farkas,4,53661,18503
4.891112,5.405051,5.405051,47.209551,47.218937,49.197155,69.000000,69.000000,0.104966,2.219885,2.830186,2.219898,2.853657,303.408804,300.000000,Farkas,4,70816,19330
-1559.539193,-1559.539193,-1559.539193,-1513.708249,-1513.708249,-1510.764125,-1496.000000,-1496.000000,0.097917,2.500641,2.933731,2.500651,2.961823,302.493693,300.000000,Farkas,4,34831,15687
-1127.250902,-1126.764841,-1126.764841,-1079.297185,-1079.296342,-1077.760209,-1065.000000,-1065.000000,0.095566,2.948022,3.926294,2.948035,3.960794,303.801727,300.000000,Farkas,4,56844,19445
4.891112,5.405051,5.405051,47.209551,47.218937,49.196060,69.000000,69.000000,0.107649,2.222372,2.832943,2.222387,2.856502,302.689779,300.000000,Farkas,4,71320,19280
4.891112,5.405051,5.405051,47.209551,47.218937,49.195913,69.000000,69.000000,0.109313,2.262407,2.872777,2.262423,2.896319,303.503768,300.000000,Farkas,4,71183,19281
4.891112,5.405051,5.405051,47.272198,47.272198,48.793684,69.000000,69.000000,0.106966,2.089520,2.767961,2.089532,2.797919,303.221850,300.000000,Farkas,4,63938,18859
4.891112,5.405051,5.405051,48.404806,48.404806,50.847466,69.000000,69.000000,0.108740,2.632458,3.145202,2.632462,3.164640,303.126733,300.000000,Farkas,4,52323,19141
4.891112,5.405051,5.405051,47.209551,47.218937,49.194726,69.000000,69.000000,0.107260,2.339686,2.950033,2.339698,2.973593,303.528536,300.000000,Farkas,4,70213,19305
4.891112,5.405051,5.405051,47.209551,47.218937,49.196643,69.000000,69.000000,0.109696,2.226188,2.836667,2.226192,2.860285,303.459169,300.000000,Farkas,4,71602,19300
4.891112,5.405051,5.405051,49.026319,49.026319,50.047527,69.000000,69.000000,0.109420,3.119859,4.465953,3.119868,4.496596,302.759030,300.000000,Farkas,4,63072,18066
4.891112,5.405051,5.405051,47.209551,47.218937,49.195274,69.000000,69.000000,0.109713,2.225181,2.835807,2.225194,2.859377,303.469706,300.000000,Farkas,4,70844,19104
4.891440,5.405379,5.405379,48.209551,48.218937,50.196191,70.000000,70.000000,0.107471,2.225519,2.836424,2.225531,2.859913,303.344514,300.000000,Farkas,4,71295,19281
-1127.622499,-1127.136438,-1127.136438,-1080.479846,-1080.479846,-1077.639990,-1065.000000,-1065.000000,0.096174,2.627302,3.430112,2.627316,3.453257,302.584836,300.000000,Farkas,4,59169,19420
-1126.622499,-1126.136438,-1126.136438,-1083.196571,-1083.165427,-1081.737056,-1063.000000,-1063.000000,0.097758,2.296187,3.004721,2.296199,3.033189,302.967861,300.000000,Farkas,4,54164,18707
4.891112,5.405051,5.405051,47.466791,47.522790,48.814257,69.000000,69.000000,0.109367,2.499014,3.409788,2.499027,3.445489,302.617205,300.000000,Farkas,4,69397,19015
4.891112,5.405051,5.405051,49.346277,49.346277,50.140705,69.000000,69.000000,0.109569,2.410682,3.211013,2.410697,3.237332,304.334239,300.000000,Farkas,4,70441,19308
-1560.538865,-1560.538865,-1560.538865,-1515.297430,-1515.297430,-1512.850000,-1497.000000,-1498.000000,0.096534,2.885147,3.376246,2.885161,3.406263,303.899996,300.000000,Farkas,4,54113,19424
4.891112,5.405051,5.405051,47.810538,47.893399,49.413205,69.000000,69.000000,0.109489,2.359287,3.168048,2.359301,3.197857,303.409679,300.000000,Farkas,4,58500,18288
4.874713,5.388652,5.388652,46.170618,46.250457,47.740013,68.000000,68.000000,0.109567,2.944997,3.601948,2.945008,3.632527,303.388340,300.000000,Farkas,4,66751,18875
4.891112,5.405051,5.405051,48.404336,48.404336,50.300921,69.000000,69.000000,0.104024,2.592398,3.114855,2.592410,3.132041,303.020424,300.000000,Farkas,4,54661,16631
4.743850,5.257789,5.257789,47.001344,47.079109,48.644790,68.000000,68.000000,0.109984,3.210340,4.834846,3.210335,4.878410,301.533896,300.000000,Farkas,4,66209,17038
