lpBound,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,usePreprocessing,vpcGenerator
-50103.998657,-50094.463103,-50094.463103,100000000000000007629769841091887003294964970946560.000000,-19469.738776,17.700597,19.124733,143.165037,175.000000,181.000000,180.000000,1,PRLP
-17731.434274,-17688.793378,-17688.793378,-17071.248107,-17071.248107,68.256713,69.905098,108.252895,175.000000,180.000000,180.000000,1,PRLP
-63999.823700,-63990.339080,-63990.339080,-60641.136877,-60641.136877,47.745379,50.811900,131.003401,175.000000,178.000000,180.000000,1,PRLP
-86165.703264,-86110.005157,-86110.005157,-67976.347561,-83561.925574,29.973893,34.681450,139.395128,175.000000,181.000000,180.000000,1,PRLP
-30579.209091,-30579.209070,-30579.209070,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,17.988892,22.528222,125.122493,175.000000,180.000000,180.000000,1,PRLP
-27735.802824,-27735.802824,-27735.802824,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,13.746007,16.781245,152.058173,175.000000,180.000000,180.000000,1,PRLP
-79231.546039,-79211.623399,-79211.623399,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,15.973797,19.422328,116.017368,175.000000,180.000000,180.000000,1,PRLP
-18696.288665,-18584.138609,-18584.138609,-12537.220515,-16280.011957,32.929201,36.559499,115.160133,175.000000,181.000000,180.000000,1,PRLP
-41027.020604,-41027.020604,-41027.020604,-39698.782883,-39698.782883,64.747179,67.751094,116.050248,175.000000,180.000000,180.000000,1,PRLP
-38085.139504,-37883.713621,-37883.713621,-33320.887466,-33320.887466,63.879395,67.961306,128.087207,175.000000,178.000000,180.000000,1,PRLP
-20407.846503,-20407.846503,-20407.846503,-3061.182818,-17869.754302,32.351780,35.996651,158.084470,175.000000,184.000000,180.000000,1,Farkas
-26577.945476,-26512.200598,-26512.200598,-25309.272593,-25309.272593,69.417515,72.438471,160.258092,175.000000,184.000000,180.000000,1,Farkas
-34050.409518,-34037.155663,-34037.155663,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,14.112010,18.494850,161.333000,175.000000,183.000000,180.000000,1,Farkas
-89300.134849,-89225.963093,-89225.963093,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,25.460905,30.034559,161.121801,175.000000,184.000000,180.000000,1,Farkas
-51645.729984,-51645.729984,-51645.729984,-49115.013785,-49115.013785,35.679227,36.955885,164.378373,175.000000,184.000000,180.000000,1,Farkas
-45289.242700,-45289.242687,-45289.242683,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,19.995049,22.925924,162.128852,175.000000,182.000000,180.000000,1,Farkas
-39968.799573,-39939.301500,-39939.301500,100000000000000007629769841091887003294964970946560.000000,-23085.081265,18.389305,24.794526,163.199013,175.000000,184.000000,180.000000,1,Farkas
-55195.303925,-55195.303925,-55195.303925,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,22.167195,29.250871,162.390315,175.000000,182.000000,180.000000,1,Farkas
-29175.607056,-29171.234850,-29171.234850,-28177.898791,-28177.898791,31.055015,39.277614,164.256357,175.000000,184.000000,180.000000,1,Farkas
-58289.957406,-58289.957406,-58289.957406,100000000000000007629769841091887003294964970946560.000000,-26387.313911,18.365947,20.933300,163.140675,175.000000,183.000000,180.000000,1,Farkas
-89704.853852,-89705.697379,-89705.697379,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,29.304870,35.638033,162.047569,175.000000,183.000000,180.000000,1,Farkas
-52183.568206,-52183.568206,-52183.568206,100000000000000007629769841091887003294964970946560.000000,-10298.518297,20.889988,26.126870,165.109497,175.000000,184.000000,180.000000,1,Farkas
-58866.180147,-58857.370753,-58857.370753,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,31.725138,33.159194,163.229344,175.000000,183.000000,180.000000,1,Farkas
-31050.590763,-31019.150924,-31019.150924,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,26.720154,31.263685,163.042208,175.000000,183.000000,180.000000,1,Farkas
-44800.295821,-44744.056808,-44744.056808,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,17.915330,22.055796,165.070221,175.000000,183.000000,180.000000,1,Farkas
-72704.301923,-72667.452505,-72667.452505,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,26.107584,31.747019,164.310483,175.000000,182.000000,180.000000,1,Farkas
-45742.966921,-45742.966935,-45742.966935,-40233.570908,-40233.570908,53.616228,54.920935,164.049620,175.000000,184.000000,180.000000,1,Farkas
