lpBound,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,usePreprocessing,vpcGenerator
0.000000,0.000000,-17228.023556,-17136.940876,-17136.940876,136.121797,0.000000,136.586262,55.000000,214.000000,60.000000,1,PRLP
-17228.023556,-17136.940876,-17223.747774,-17123.746738,-17123.746738,130.108830,0.000000,130.513564,55.000000,213.000000,60.000000,1,PRLP
0.000000,0.000000,-17223.836011,-17114.759512,-17114.759512,140.821687,0.000000,140.898987,55.000000,216.000000,60.000000,1,PRLP
0.000000,0.000000,-17223.925517,-17145.465209,-17145.465209,131.451507,0.000000,131.949660,55.000000,216.000000,60.000000,1,PRLP
0.000000,0.000000,-17224.014586,-17151.012661,-17151.012661,135.967634,0.000000,136.395264,55.000000,220.000000,60.000000,1,PRLP
3624796769081989028907067095591690931208742444666225048875040048866771907250680914881848121160083639008160673722391955228193387823998210022072958593652155980714018768132704587174404252425530960074571104932869388310886691349987328.000000,72661324563479971611463061985431287553157228006899982670749178821180107774765483713342772197545261955862237094007065052615047698649715870254477780060598436294474361754413270139016018898482454840723988075860496861500085895168.000000,-17224.098661,-17151.777561,-17151.777561,175.042125,0.000000,175.120883,55.000000,254.000000,60.000000,1,PRLP
3624796769081989028907067095591690931208742444666225048875040048866771907250680914881848121160083639008160673722391955228193387823998210022072958593652155980714018768132704587174404252425530960074571104932869388310886691349987328.000000,72661324563479971611463061985431287553157228006899982670749178821180107774765483713342772197545261955862237094007065052615047698649715870254477780060598436294474361754413270139016018898482454840723988075860496861500085895168.000000,-17224.187138,-17143.381274,-17143.381274,181.336177,0.000000,182.033592,55.000000,263.000000,60.000000,1,PRLP
0.000000,0.000000,-17224.278365,-17129.560439,-17129.560439,137.702027,0.000000,138.187815,55.000000,224.000000,60.000000,1,PRLP
3624796769081989028907067095591690931208742444666225048875040048866771907250680914881848121160083639008160673722391955228193387823998210022072958593652155980714018768132704587174404252425530960074571104932869388310886691349987328.000000,72661324563479971611463061985431287553157228006899982670749178821180107774765483713342772197545261955862237094007065052615047698649715870254477780060598436294474361754413270139016018898482454840723988075860496861500085895168.000000,-17224.359976,-17103.079739,-17103.079739,91.486997,0.000000,92.101405,55.000000,177.000000,60.000000,1,PRLP
0.000000,0.000000,-17224.450203,-17143.998604,-17143.998604,110.881342,-nan,111.418881,55.000000,191.000000,60.000000,1,PRLP
-17224.450203,-17143.998604,-17224.540334,-17151.980779,-17151.980779,109.181423,0.000000,109.841010,55.000000,156.000000,60.000000,1,None
0.000000,0.000000,-17224.628740,-17145.602288,-17145.602288,181.719469,-nan,182.203754,55.000000,233.000000,60.000000,1,None
0.000000,0.000000,-17224.711746,-17152.108250,-17152.108250,144.557355,0.000000,144.909556,55.000000,187.000000,60.000000,1,None
0.000000,0.000000,-17224.800981,-17146.678073,-17146.678073,123.747158,0.000000,124.183272,55.000000,172.000000,60.000000,1,None
0.000000,0.000000,-17224.887733,-17136.339635,-17136.339635,145.846672,0.000000,146.363174,55.000000,192.000000,60.000000,1,None
0.000000,0.000000,-17224.972937,-17117.386555,-17117.386555,79.123623,0.000000,79.403750,55.000000,127.000000,60.000000,1,None
0.000000,0.000000,-17225.057261,-17123.067531,-17123.067531,129.343689,0.000000,129.977874,55.000000,183.000000,60.000000,1,None
0.000000,0.000000,-17225.147695,-17140.683689,-17140.683689,145.127864,0.000000,145.462421,55.000000,197.000000,60.000000,1,None
0.000000,0.000000,-17225.233620,-17124.536780,-17124.536780,132.877771,0.000000,133.375249,55.000000,184.000000,60.000000,1,None
0.000000,0.000000,-17225.326743,-17142.484793,-17142.484793,114.034189,0.000000,114.553735,55.000000,168.000000,60.000000,1,None
0.000000,0.000000,-17225.408712,-17131.172511,-17131.172511,135.302340,0.000000,135.908983,55.000000,184.000000,60.000000,1,None
0.000000,0.000000,-17225.498328,-17132.748660,-17132.748660,121.604843,0.000000,122.062711,55.000000,169.000000,60.000000,1,None
