lpBound,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,usePreprocessing,vpcGenerator
277.904167,299.962375,299.966762,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.321118,54.177472,281.076329,295.000000,298.000000,300.000000,1,PRLP
287.232222,313.908734,313.910118,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,2.732295,46.499151,283.046358,295.000000,298.000000,300.000000,1,PRLP
297.410912,317.965276,317.966519,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,7.959421,50.441328,281.135226,295.000000,297.000000,300.000000,1,PRLP
324.289590,351.016694,351.016909,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.552183,51.141743,283.104200,295.000000,298.000000,300.000000,1,PRLP
306.063889,327.082812,327.094127,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.254671,41.801883,284.052214,295.000000,297.000000,300.000000,1,PRLP
286.764706,312.079142,312.120187,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.104348,41.924833,280.079052,295.000000,297.000000,300.000000,1,PRLP
321.132074,353.158106,353.295304,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,7.832555,48.067366,285.021926,295.000000,297.000000,300.000000,1,PRLP
343.203623,362.967477,363.142821,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.072827,50.630146,282.110002,295.000000,297.000000,300.000000,1,PRLP
310.317825,332.304394,332.307988,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.008852,41.779436,287.083570,295.000000,297.000000,300.000000,1,PRLP
292.243506,314.388620,314.592042,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.331422,47.525770,288.130506,295.000000,297.000000,300.000000,1,PRLP
297.733333,321.742884,322.233669,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.788576,45.708979,289.077379,295.000000,297.000000,300.000000,1,Farkas
301.554167,325.100978,325.420984,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.994277,41.180033,291.042595,295.000000,297.000000,300.000000,1,Farkas
282.916667,313.456524,313.457832,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.900834,53.003026,289.038145,295.000000,297.000000,300.000000,1,Farkas
290.650000,318.446383,318.446941,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.818987,40.685019,291.014035,295.000000,297.000000,300.000000,1,Farkas
275.375000,302.910928,303.126295,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,7.153475,11.032243,287.028146,295.000000,297.000000,300.000000,1,Farkas
338.541667,355.137348,355.137754,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.073152,40.718245,290.014039,295.000000,296.000000,300.000000,1,Farkas
316.921667,343.023106,343.493457,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.608379,43.418148,288.034341,295.000000,297.000000,300.000000,1,Farkas
285.504167,312.814501,312.820550,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.102158,43.579135,288.067712,295.000000,297.000000,300.000000,1,Farkas
305.846667,329.870220,329.871243,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,2.385740,48.347960,290.011135,295.000000,297.000000,300.000000,1,Farkas
303.834314,320.154900,320.375829,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.992399,9.934990,290.046757,295.000000,297.000000,300.000000,1,Farkas
311.644545,331.330874,331.333915,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.932884,51.299081,290.047365,295.000000,297.000000,300.000000,1,Farkas
328.550000,352.873094,353.161666,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.047681,33.252556,291.028304,295.000000,296.000000,300.000000,1,Farkas
278.208333,303.236992,303.243578,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.488946,47.887883,289.056508,295.000000,297.000000,300.000000,1,Farkas
296.133333,315.020637,315.173815,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.137908,5.404056,288.015917,295.000000,297.000000,300.000000,1,Farkas
283.924359,297.170614,297.290736,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.117824,8.409020,289.012098,295.000000,297.000000,300.000000,1,Farkas
298.013889,320.363401,320.447241,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.725249,25.744339,289.012991,295.000000,297.000000,300.000000,1,Farkas
316.025000,345.699627,345.703260,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,8.080806,43.288472,290.015939,295.000000,297.000000,300.000000,1,Farkas
316.683333,344.518007,344.618270,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.548766,44.648534,290.066949,295.000000,297.000000,300.000000,1,Farkas
310.933333,337.714264,337.743955,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.574929,40.592825,289.076867,295.000000,297.000000,300.000000,1,Farkas
317.250000,331.299277,331.299288,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.093675,41.279686,290.034218,295.000000,297.000000,300.000000,1,Farkas
310.588889,334.526719,334.531231,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.033630,40.206055,290.009058,295.000000,296.000000,300.000000,1,Farkas
297.729487,317.671758,317.673426,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,7.450375,44.297459,289.032340,295.000000,297.000000,300.000000,1,Farkas
322.733333,345.275467,345.290468,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.162595,37.465752,291.019401,295.000000,296.000000,300.000000,1,Farkas
310.416667,338.856759,338.861990,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.700649,46.548625,288.011419,295.000000,297.000000,300.000000,1,Farkas
317.536905,339.763926,339.764632,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.118826,40.667012,289.034985,295.000000,296.000000,300.000000,1,Farkas
286.669444,319.066746,319.088347,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.061289,38.338196,289.042731,295.000000,297.000000,300.000000,1,Farkas
323.333333,354.919889,354.924860,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.332864,41.432685,292.011628,295.000000,297.000000,300.000000,1,Farkas
323.200000,357.826493,357.828574,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.328629,42.247770,291.019950,295.000000,297.000000,300.000000,1,Farkas
294.676190,324.946710,324.948050,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.214930,41.540397,289.008871,295.000000,297.000000,300.000000,1,Farkas
288.040230,311.391179,311.392766,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.550660,45.206615,290.023851,295.000000,297.000000,300.000000,1,Farkas
328.548168,345.953884,345.972462,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.628233,37.984749,289.063372,295.000000,297.000000,300.000000,1,Farkas
309.995833,331.672808,331.676584,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.614766,40.327201,289.139049,295.000000,297.000000,300.000000,1,Farkas
328.332222,348.238565,348.265581,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,6.529057,48.426281,289.009174,295.000000,297.000000,300.000000,1,Farkas
321.215556,343.840890,343.842409,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,5.107738,32.456140,291.049248,295.000000,297.000000,300.000000,1,Farkas
310.502222,328.895005,328.897986,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.622476,44.811009,288.024192,295.000000,296.000000,300.000000,1,Farkas
286.688889,313.938861,313.941317,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,4.921235,40.716754,289.020269,295.000000,297.000000,300.000000,1,Farkas
