instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms
150,3,None,4,20.024059,20.024059,20.024059,24.929399,33.500000,33.500000,0.000004,0.113612,0.143536,0.147241,171,987,3600.000000,0,0,0,GUROBI,1,0,0,0
151,3,None,4,20.968290,20.968290,20.968290,26.090454,34.500000,34.500000,0.000002,0.099787,0.170474,0.175816,375,2023,3600.000000,0,0,0,GUROBI,1,0,0,0
152,3,None,4,20.487660,20.487660,20.487660,25.132118,34.000000,34.000000,0.000001,0.102139,0.168059,0.185696,443,2128,3600.000000,0,0,0,GUROBI,1,0,0,0
153,3,None,4,20.570922,20.570922,20.570922,26.744064,34.000000,34.000000,0.000004,0.113296,0.160314,0.176116,344,1656,3600.000000,0,0,0,GUROBI,1,0,0,0
154,3,None,4,20.570922,20.570922,20.570922,25.782529,34.000000,34.000000,0.000001,0.096742,0.159813,0.169263,385,1864,3600.000000,0,0,0,GUROBI,1,0,0,0
155,3,None,4,20.524059,20.524059,20.524059,25.440119,34.000000,34.000000,0.000003,0.099964,0.146708,0.161656,349,1716,3600.000000,0,0,0,GUROBI,1,0,0,0
156,3,None,4,20.409089,20.409089,20.409089,25.710323,34.000000,34.000000,0.000004,0.168580,0.280197,0.282275,557,2817,3600.000000,0,0,0,GUROBI,1,0,0,0
157,3,None,4,20.073782,20.073782,20.073782,24.862227,33.500000,33.500000,0.000002,0.070080,0.162601,0.165005,485,2338,3600.000000,0,0,0,GUROBI,1,0,0,0
158,3,None,4,20.070922,20.070922,20.070922,25.268862,33.500000,33.500000,0.000004,0.092840,0.188187,0.192165,510,2560,3600.000000,0,0,0,GUROBI,1,0,0,0
159,3,None,4,20.172424,20.172424,20.172424,25.402077,33.500000,33.500000,0.000003,0.097137,0.130502,0.151297,299,1559,3600.000000,0,0,0,GUROBI,1,0,0,0
160,3,None,4,20.871663,20.871663,20.871663,25.954877,34.500000,34.500000,0.000003,0.097072,0.154848,0.154916,300,1624,3600.000000,0,0,0,GUROBI,1,0,0,0
161,3,None,4,19.871683,19.871683,19.871683,25.465862,32.500000,32.500000,0.000003,0.070229,0.137268,0.151814,403,1956,3600.000000,0,0,0,GUROBI,1,0,0,0
162,3,None,4,20.517771,20.517771,20.517771,25.787371,33.500000,33.500000,0.000001,0.119242,0.208450,0.224043,521,2596,3600.000000,0,0,0,GUROBI,1,0,0,0
163,3,None,4,20.570922,20.570922,20.570922,26.427088,34.000000,34.000000,0.000002,0.142748,0.201604,0.219610,390,1987,3600.000000,0,0,0,GUROBI,1,0,0,0
