lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBoundPreVpc,rootDualBound,dualBound,heuristicPrimalBound,primalBound,vpcGenerationTime,heuristicTime,rootDualBoundTime,firstSolutionTime,bestSolutionTime,terminationTime,maxTime,vpcGenerator,terms,iterations,nodes
20.570922,20.570922,20.570922,25.254803,25.254803,34.000000,34.000000,34.000000,0.036277,1.394097,1.735915,1.393878,1.741389,2.338286,300.000000,None,256,2021,186
17.740602,17.740602,17.740602,22.523181,22.523181,26.000000,26.000000,26.000000,0.004789,0.165072,0.200079,0.165074,0.204440,0.248120,300.000000,None,256,137,8
21.032539,21.032539,21.032539,25.840801,25.840801,31.000000,31.000000,31.000000,0.001886,0.104339,0.480333,0.104352,0.486878,0.677662,300.000000,None,256,1087,26
22.098028,22.098028,22.098028,26.168947,26.168947,34.000000,34.000000,34.000000,0.004417,0.373933,0.769378,0.373936,0.776838,1.229284,300.000000,None,256,1638,98
20.379674,20.379674,20.379674,24.592977,24.592977,29.000000,29.000000,29.000000,0.001903,0.106760,0.450403,0.106772,0.455490,0.591443,300.000000,None,256,964,22
21.880610,21.880610,21.880610,26.265412,26.265412,30.000000,30.000000,30.000000,0.001992,0.172562,0.514077,0.172573,0.519986,0.654242,300.000000,None,256,927,24
20.738233,20.738233,20.738233,25.384712,25.384712,34.000000,34.000000,34.000000,0.001822,0.238317,0.595385,0.238331,0.603628,1.171709,300.000000,None,256,1885,166
22.078610,22.078610,22.078610,27.086204,27.086204,32.000000,32.000000,32.000000,0.001865,0.186477,0.582953,0.186489,0.589277,0.767655,300.000000,None,256,1167,34
25.541396,25.541396,25.541396,27.352031,27.352031,31.000000,31.000000,31.000000,0.001951,0.096913,0.113437,0.096927,0.118017,0.137179,300.000000,None,256,52,6
21.563526,21.563526,21.563526,26.532449,26.532449,31.000000,31.000000,31.000000,0.001882,0.109066,0.454047,0.109079,0.461678,0.565612,300.000000,None,256,812,16
22.597943,22.597943,22.597943,27.028970,27.028970,34.000000,34.000000,34.000000,0.001882,0.225867,0.617950,0.225878,0.624818,0.884344,300.000000,None,256,1279,58
