lpBound,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,usePreprocessing
-78015.590783,-77695.115982,-77692.394175,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.548634,10.355846,283.163994,300.000000,309.000000,300.000000,1
-45156.129277,-44942.340586,-44942.331946,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.285862,10.894093,284.094970,300.000000,308.000000,300.000000,1
-1576.137798,-1522.231075,-1522.231075,7570.867167,7570.867167,3.692705,10.405965,282.044793,300.000000,306.000000,300.000000,1
-13.655481,3.706859,8.144785,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,2.542111,6.349076,282.062112,300.000000,309.000000,300.000000,1
-22277.702956,-22219.844125,-22219.836377,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.346316,7.442074,283.140458,300.000000,307.000000,300.000000,1
-47.733371,-24.867834,-24.837348,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,12.961531,24.949665,281.051883,300.000000,308.000000,300.000000,1
28.524509,50.148797,52.719744,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.883612,8.919915,282.002590,300.000000,308.000000,300.000000,1
-14173.530875,-13930.676741,-13930.676741,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,2.657250,12.603409,284.013814,300.000000,306.000000,300.000000,1
-1560.741447,-1526.659429,-1525.941837,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.437424,6.539590,283.015472,300.000000,309.000000,300.000000,1
-29726.492452,-29644.680516,-29644.680516,100000000000000007629769841091887003294964970946560.000000,100000000000000007629769841091887003294964970946560.000000,1.789083,7.563965,283.021967,300.000000,308.000000,300.000000,1
