lpBound,rootDualBound,dualBound,heuristicPrimalBound,primalBound,heuristicTime,rootDualBoundTime,terminationTime,maxTerminationTime,completionTime,maxCompletionTime,usePreprocessing
1144228224968744574800945539252022428912445640588548581971614692426503817829927716957558760830249163480939424612179171869828097334741826664539267159633203035979274379349186316295893136779525569856217867613015038128946297028775610392431913074688.000000,1327441176358805196502905690897812659761060215591469524235978158341895877001650758686596053928881714026133986389487415887317184491897798074852903218153672200222489156179088833653287638727483457536.000000,-17228.023556,-17136.940876,-17136.940876,138.301697,0.000000,138.732502,60.000000,218.000000,60.000000,1
-5548345081600560999460269972341822232590091734179619446055823336114436041761141854750662466488851592627829229110690196344062308520068944190833188310018807747521855642356242478751767307657630173517429329205060530056583916062347839500628691257905982431183514076057309384583452317095675518805192466621267968.000000,0.000000,-17223.747774,-17123.746738,-17123.746738,134.997291,0.000000,135.078571,60.000000,220.000000,60.000000,1
0.000000,0.000000,-17223.836011,-17114.759512,-17114.759512,142.685032,0.000000,143.164632,60.000000,227.000000,60.000000,1
0.000000,0.000000,-17223.925517,-17145.465209,-17145.465209,131.739683,0.000000,132.197240,60.000000,219.000000,60.000000,1
0.000000,0.000000,-17224.014586,-17151.012661,-17151.012661,132.257771,0.000000,132.781292,60.000000,214.000000,60.000000,1
0.000000,0.000000,-17224.098661,-17151.777561,-17151.777561,202.035332,0.000000,202.566649,60.000000,281.000000,60.000000,1
0.000000,0.000000,-17224.187138,-17143.381274,-17143.381274,181.721110,0.000000,182.270325,60.000000,263.000000,60.000000,1
0.000000,0.000000,-17224.278365,-17129.560439,-17129.560439,141.300069,0.000000,141.806701,60.000000,224.000000,60.000000,1
0.000000,0.000000,-17224.359976,-17103.079739,-17103.079739,126.540325,0.000000,127.123751,60.000000,210.000000,60.000000,1
0.000000,0.000000,-17224.450203,-17143.998604,-17143.998604,144.037467,0.000000,144.418241,60.000000,225.000000,60.000000,1
